"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","matrix","nist","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","isotopes","adduct","pcgroup","meanpeak"
"1",100.075973678413,100.075925663399,100.07601553321,37.757999420166,37.7569847106934,37.7580032348633,5,0,5,24069.3868177369,21889.0142117658,17235.1145035076,28731.4946895731,28810.4954161098,2565382.30421022,2654940.88950456,2731762.51575883,2647833.29988483,2610510.06954106,"[1][M]+","","664",2642085.8157799
"5",104.107028100104,104.106995768886,104.107075291675,43.8234952087402,43.2169914245605,44.429988861084,6,0,5,NA,NA,NA,NA,NA,868651.607341509,1233369.112364,1213270.15807116,1211046.95561596,1235590.050882,"","","972",1152385.57685493
"6",105.033414139591,105.033360392083,105.033503822973,75.3676071166992,74.760871887207,75.3680114746094,5,0,5,208.991505629849,827.957179813989,NA,NA,148.931218889542,195631.105109336,199049.932292345,197774.116397142,202050.742338154,198867.403511676,"","[M+2H-C4H8]2+ 264.111","75",198674.659929731
"8",106.991843422637,106.991826401287,106.991877338488,481.199005126953,481.198944091797,481.806182861328,5,0,5,732002.242865597,732696.885267182,725728.173589127,728655.577932579,718460.241699976,311389.417790313,314325.185581072,328629.595932703,310187.99905662,310939.438540316,"","","1018",315094.327380205
"9",106.991833086264,106.991812623385,106.991896275689,568.866670410146,567.945190429688,569.159912109375,6,1,5,667916.141813968,540288.551307629,651017.341466161,666990.15380773,633199.421637921,465155.717523689,456576.108409803,703948.763859226,684866.401877166,486667.832010775,"","","990",559442.964736132
"10",106.991826021832,106.991811127154,106.99186293754,495.152069091797,495.15100000002,495.757995605469,5,0,5,707836.194850445,739212.232744319,734983.13695693,741829.803689616,718090.970597608,365489.099888064,343979.985281037,381574.991797988,365961.02575491,361822.008188421,"","","884",363765.422182084
"11",107.070260040885,107.070205954455,107.070378485119,223.386169433594,222.778076171875,223.387542724609,11,5,5,150351.915734807,138867.323191197,144911.12109065,127955.223195367,133787.26606209,149235.239988766,134828.58807639,138321.766129918,153584.625428144,154020.939268824,"","[M+H-C4H8]+ 162.125","1338",145998.231778408
"12",110.975095189641,110.974776564338,110.975333363863,352.596435546875,352.595886230469,353.822784423828,10,5,5,15407.7608134359,14164.4552974736,13214.163141209,14067.577833014,14250.7737205978,12405.9963178206,11490.5589281859,15890.089788958,12356.0222411156,11127.4589830049,"","","1106",12654.025251817
"14",111.116748028332,111.116650431534,111.116821895813,155.441421508789,155.419876098633,156.049026489258,10,5,5,54012.9723982316,157057.10636222,223834.897383014,570927.007175297,676833.232921521,78516.869066703,249609.875449712,69738.6207158172,150779.333979744,301453.324589943,"","[M+H-H2O]+ 128.121","85",170019.604760384
"16",112.111924443325,112.111763275778,112.11197252116,71.7280044555664,71.7278747558594,72.33499999998,5,0,5,NA,NA,NA,NA,NA,8980.61178762422,8627.50267470704,10142.0377178866,9777.32827794606,10509.6709683549,"","[M+H-HCOOH]+ 157.111","39",9607.43028530375
"22",119.541355028701,119.541295501461,119.541414351911,254.323699951172,253.717712402344,254.32470703125,5,0,5,217.103471506115,547.907523302888,364.233424438746,408.327345481744,208.632107475035,31680.0617979947,33323.3360824437,57107.1131202787,30327.7267645349,31154.9377285575,"","","52",36718.6350987619
"23",119.993260441614,119.99310735263,119.993406565623,407.797727416982,407.191986083984,407.804016113281,10,5,5,21940.5494828769,24510.3340800396,28125.2688953039,22649.2669434004,23559.01564988,23495.3107883564,23823.6971117739,25734.0976117385,23467.7764683548,25950.0469769714,"","","1198",24494.185791439
