"","mz","rt","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M114.1275T143.9","114.127487604878","143.918182373047","45338.0274680321","50818.6031683698","54539.5275495483","55371.6862933045","56058.5316497159"
"M206.0809T191.8","206.080907899819","191.843048095703","115610.89894497","117955.241170697","108420.384604055","120129.835989507","120903.988520814"
"M265.1183T76","265.118287787601","75.9746170043945","921311.120161723","903733.114593361","985274.382820413","920163.20339678","929313.757258087"
"M290.1391T106.3","290.139140046613","106.306015014648","5080851.96465656","5078255.34625554","5051350.85759031","5003326.5370363","4964801.97025978"
"M345.1365T312.6","345.136453099085","312.559112548828","819600.617344304","811466.329434389","790138.152295561","807943.834869997","799878.417487972"
"M497.3446T487.3","497.344559718292","487.265991210938","34405131.6777492","32305080.8563388","34305813.9441037","34512652.0787809","17907932.9552682"
"M506.3595T518.8","506.359474007454","518.80999999998","244131.217980578","247854.681933667","230867.342175229","241257.441888717","244446.94788698"
"M517.386T558.8","517.386028595722","558.846435546875","146609.800729759","156687.298100461","151550.653225705","141127.47242258","140550.644475523"
"M520.3419T473.3","520.341874425199","473.313","58541367.86254","58611988.8969388","58216494.9430024","58882102.6488784","58951006.5566203"
"M521.3444T473.3","521.344415388046","473.31291784668","16740073.3033979","16842975.1417653","16599148.6424531","16935971.3267954","16934654.074824"
"M559.8011T473.9","559.801116285187","473.920013427734","241818.718372764","241721.810221313","236336.690926977","233976.332758972","228188.448582586"
"M585.2698T381.7","585.269825349487","381.713745117188","212928.402490184","253284.557359863","229957.120462677","235131.23935569","232389.231133251"
"M595.434T606.2","595.434004111856","606.165","180282.375613942","175005.318148663","174899.003725608","170588.666384633","177230.253417071"
"M599.4639T637.7","599.46386545479","637.708923339844","903341.393155112","895690.01023028","950843.641971916","900640.140414009","917400.519836125"
"M619.2587T471.5","619.25868443202","471.493011474609","199306.562037886","203108.932198631","194238.027832662","194672.376932405","196175.573473943"
"M624.2953T531.5","624.29534816147","531.549011230469","556383.663833237","538957.507768079","546540.512250641","558124.821984713","548861.323401668"
"M637.4183T473.3","637.418278705395","473.313064575195","167198.179114542","166654.657725933","166566.000708837","167688.045347608","179708.97196706"
"M675.5447T648","675.54465426895","648.020935058594","6314483.51881835","6188525.63999402","6229974.87333018","6220194.24871693","6160156.08234875"
"M703.5767T677.1","703.576696292959","677.138988525391","33368459.8146681","33104378.7444072","33318619.5304429","33164199.7070765","33263472.6212907"
"M728.5225T681.4","728.522499914141","681.385070800781","196836.121703191","184777.303486742","204746.644464937","201265.733058104","203002.712909264"
"M728.5776T668.6","728.577634459338","668.64599609375","565384.596194706","547043.769075011","572152.612632785","546022.653544774","555789.953324706"
"M729.5914T686.2","729.591429424787","686.237988037109","2878226.21614922","1330503.07539945","2882224.29101329","2863837.2413894","2850975.04371875"
"M760.5777T696.6","760.577712016976","696.551195800771","4440170.8177206","4460816.37589336","4449503.04331827","4437614.14573801","4467294.3355397"
"M763.5944T712.9","763.594377870001","712.930541992188","476794.047747893","468302.521925609","475114.276400051","478557.654528201","479258.924200397"
"M774.0445T683.2","774.044468105412","683.205017089844","49759.8119077256","58872.8624332764","59708.2221737633","44922.5293276756","54104.1241600934"
"M782.5617T679","782.561679607093","678.959106445312","539869.575029831","617408.612662782","504922.597045031","703959.918569008","635089.268760681"
"M782.5706T686.2","782.570645936028","686.238","17442862.9636352","16637501.6561552","16524340.9264706","16755937.1939813","16655654.5369312"
"M784.5865T704.9","784.586547201121","704.897644042969","25207538.4384971","25561199.1093869","25846721.5953161","25768434.7907296","25079113.9695315"
"M798.5535T682.6","798.553499380145","682.59814453125","137856.631596299","85642.1854261913","135951.977097218","164033.578725248","154879.013271938"
"M810.6015T721.4","810.601486721565","721.42399999998","11762411.7216538","11581251.3526552","11649626.3248594","11659495.8964219","11596528.9987033"
"M825.6945T835.5","825.694450893945","835.468017578125","151025.508079186","146171.398012746","201604.571215965","206435.747495596","198320.28339482"
"M825.6938T834.9","825.693775830606","834.861","157340.719788313","158382.672782223","203955.114060613","213902.738596604","209545.054101715"
"M828.4818T455.7","828.481819991304","455.721221923828","42950.7911659091","39986.2075838927","62397.1658650176","63325.7188750432","67552.747095642"
"M848.5568T723.8","848.556836250021","723.849182128906","124647.437694201","124027.218519956","118992.709922016","125811.856501398","131455.48637352"
