"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","matrix","nist","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","isotopes","adduct","pcgroup","meanpeak"
"1",100.93356267525,100.933535064077,100.933586742304,708.699,708.698120117188,708.700256347656,5,0,5,NA,NA,NA,NA,199415.282977471,4488935.61543923,4529419.72802798,4535613.074697,4564466.96821121,4544051.38122291,"","","165",4532497.35351966
"5",101.024659552197,101.024644696762,101.02467582677,34.9681701660156,34.396068572998,35.0445327758789,5,0,5,1032.76646589886,2243.68057669607,453.629905701219,2831.92695313444,1097.85731749215,67547.5661311677,62320.9532981343,68787.7273865902,67630.5105711882,66484.5597553824,"","","598",66554.2634284926
"6",101.061084464689,101.060974070409,101.061127599075,87.5202713012695,87.5008010864258,88.1190032958984,5,0,5,NA,213.913977592933,220.908096209598,NA,189.989263680746,40851.8042068348,48825.2171151819,47767.3513296773,46249.2388693019,47208.8905663016,"","[M-H-CO]- 130.061","11",46180.5004174595
"8",103.040624811386,103.040577769991,103.040667368465,36.3410530090332,35.95000000002,36.88330078125,5,0,5,3613.49593613433,2326.51858524713,2404.53109575098,3634.08381811588,3391.42215225002,2219668.86760551,2210229.25197509,2270935.37245502,2288148.2957117,2206427.85179847,"[1][M]-","[M+Cl]- 68.0712 [M-H]- 104.048","40",2239081.92790916
"9",104.043787174518,104.043744468507,104.043926465166,36.2451705932617,35.95000000002,36.3424911499023,5,0,5,NA,NA,NA,NA,234.345536060398,96901.0116956608,98562.0600989036,103779.689643265,105932.606940153,97426.3361124024,"[1][M+1]-","","40",100520.340898077
"10",105.045001130495,105.044935759521,105.045275641252,36.2451705932617,35.95000000002,36.3424911499023,5,0,5,NA,NA,NA,NA,NA,14382.6098885434,15400.2007153764,14493.3984857499,14843.2198074339,14179.7207727684,"[1][M+2]-","","40",14659.8299339744
"11",107.050470021095,107.050384027841,107.050504903744,110.564002990723,110.554626464844,111.16999999998,5,0,5,NA,NA,NA,NA,NA,52805.5001645337,53993.3152819709,52480.46909329,61812.9502648888,64652.0385871201,"","","3",57148.8546783607
"12",110.025234207756,110.024975478347,110.025476244806,60.6456527709961,60.2378578186035,60.8716354370117,5,0,5,NA,NA,137.141238107183,NA,NA,5222.28371147809,7898.61273861297,8167.49178800655,7678.99098300529,8218.25474296678,"","","801",7437.12679281394
"14",113.097334864568,113.097286001479,113.097431341441,254.312194824219,254.222778320312,254.913345336914,5,0,5,344.313902918492,149.221943257673,173.857862698761,NA,NA,17767.1790836535,22197.1811161367,17848.7903571842,21791.6601250474,21204.0854379435,"","","808",20161.7792239931
"16",115.040377931581,115.040256991138,115.040416457904,40.0665969848633,39.58900000002,40.2214126586914,5,0,5,4874.58265828387,5275.66478066067,7538.51492511002,2717.38522444081,5750.16979181982,643760.598827102,639121.665805631,648789.565771784,654911.236762207,648545.179354651,"","","34",647025.649304275
"22",117.05620315754,117.056184094216,117.05622707621,65.059326171875,64.6112289428711,65.067,5,0,5,888.991333909975,2156.15534905856,1179.58950923123,1848.16462637041,1376.89745099514,2619958.97871703,2239519.45759046,2345893.08630226,2228526.57895424,2226702.62808262,"[2][M]-","[M-H]- 118.063","38",2332120.14592932
"23",118.059291213879,118.059255653456,118.059402711222,65.059326171875,64.6112289428711,65.067,5,0,5,NA,NA,430.091778257062,149.280132522615,NA,137167.803144833,128108.999486749,130236.402440918,131167.402669697,129165.103899208,"[2][M+1]-","","38",131169.142328281
"26",124.040758803778,124.040392893835,124.040873041129,58.3680038452148,58.1147193908691,59.001,5,0,5,NA,NA,450.204401550271,137.758597738575,NA,19496.2836883894,17811.2570334374,16223.529965777,17256.1045967823,18067.3345990843,"","","802",17770.9019766941
"28",129.01954358589,129.019391781049,129.019711311765,35.3000259399414,34.73599999998,35.9608993530273,7,2,5,9724.86687032064,7425.04000478589,8501.64909478848,8918.60586740709,7227.26911790429,41093.0922147583,33470.3533863353,46424.2733745168,44074.8264137847,40886.9746831435,"","","599",41189.9040145077
"29",129.056125270323,129.056032273811,129.056143040084,87.5017013549805,86.9134063720703,87.5202713012695,5,0,5,2718.00216742697,1727.82780287754,1634.34731358589,1446.54486897859,511.116436414291,17764575.4889501,16838159.7464192,16725340.0878908,10804769.0023956,17119291.2642452,"[3][M]-","[M-H]- 130.061","11",15850427.1179802
"30",129.056129710815,129.056092662818,129.056160737106,74.77300000002,74.5576324462891,75.0860977172852,5,0,5,828.263315380152,544.287072547068,211.396578980521,1010.1289570611,756.099662097792,6437338.05619238,5870132.07608318,6074814.85125807,6057569.40179838,5969872.57180123,"[4][M]-","[M-H]- 130.064","20",6081945.39142665
"31",130.051325375295,130.051272341422,130.051377026037,34.3950271606445,34.12999999998,34.9688949584961,5,0,5,971.621068509168,1891.98531098507,1166.91037165188,1424.1315189386,818.365449028246,53464.9529397217,55437.2225568787,57159.4584295259,57074.6894965685,57355.5211756348,"","","594",56098.3689196659
"32",130.059256067697,130.059243461512,130.059360756426,87.51199999998,87.5008010864258,87.5281143188477,5,0,5,137.268606497968,NA,NA,192.943470503347,231.694770230288,1163668.0507331,1151972.8682462,1147344.60357852,735237.807954017,1152555.65769161,"[3][M+1]-","","11",1070155.79764069
"33",130.059328843727,130.059232919081,130.059344065154,74.77300000002,74.5576324462891,75.0860977172852,5,0,5,141.226976810961,192.914426349978,234.936045475119,200.712955699706,167.431869385865,419861.859976408,404650.847359036,423487.324140163,419923.876272496,401856.217855527,"[4][M+1]-","","20",413956.025120726
"34",130.066209036304,130.066168471536,130.066265607377,252.497482299805,251.803085327148,252.51199999998,5,0,5,NA,NA,NA,NA,NA,34331.9186410709,32914.0278362455,29922.0740881348,34417.8089797852,31000.842711652,"","","562",32517.3344513777
"36",131.071364926261,131.07131213606,131.07142202201,102.727432250977,102.719871520996,103.284,5,0,5,974.085696213823,174.206076292554,988.862494103494,688.063091936463,669.880925062229,105135.961681065,112391.865961939,108010.353308269,106571.849343859,116710.642568752,"","","132",109764.134572777
"37",131.071309141053,131.071285579682,131.071424967663,148.174774169922,147.810333251953,148.78000000002,5,0,5,1413.68387982424,1549.68734572729,1548.65631435299,1914.48727271054,641.446797560202,231054.800051478,230367.000705361,231676.591242328,222513.353383242,232900.92237075,"","","114",229702.533550632
"40",133.050745308236,133.050631759181,133.051083328762,34.3950271606445,34.12999999998,34.9681701660156,5,0,5,1925.18942799615,442.872049652539,2698.12815400726,1147.29005077814,589.459277829423,53133.6660415056,47669.9417037868,52599.9054073033,56176.7084828593,52268.7514929109,"","","595",52369.7946256732
