"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M117.0562T65.1","117.05620315754","65.059326171875","2619958.97871703","2239519.45759046","2345893.08630226","2228526.57895424","2226702.62808262"
"M137.0248T239.9","137.024812439713","239.871459960938","11377976.4570352","11432529.1826451","11410014.6486166","11394831.0904819","11645625.1638983"
"M204.0667T193.1","204.066676424172","193.140930175781","280472.201889714","282730.365998263","268496.692710325","272024.360320602","277773.066111228"
"M235.0976T285.3","235.097616464596","285.263549804688","572882.123721246","551402.922213739","543199.210001367","550201.097866044","567567.798969313"
"M270.7982T33.7","270.798170423968","33.6911773681641","135791.788073232","135441.959594751","118330.736096277","127396.951772309","134239.758508733"
"M277.1444T433.9","277.144356555921","433.896087646484","605507.639703589","590332.193964188","567085.994591155","583304.885408304","590120.137748265"
"M315.2537T447.8","315.253669959282","447.848785400391","91655.7734000794","97071.6818169799","90082.5615593602","91750.9555570615","97723.1801319695"
"M327.9676T239.9","327.967582286492","239.871459960938","65716.5036340819","61738.2914409974","58216.4214451747","57866.5887381791","61271.0528594773"
"M369.1746T315","369.174643960559","314.998413085938","6872062.84220601","6759464.33787967","6566132.57908003","6527449.39766801","6667470.37707714"
"M413.2005T285.9","413.200511628055","285.871124267578","1582496.4770448","1502399.07615018","1465346.71008676","1531895.65195209","1586294.96795079"
"M443.316T580.7","443.31595867904","580.699035644531","444983.680788871","429743.350424715","421688.989653971","441386.616744669","432149.672103168"
"M448.3066T373.2","448.306620273838","373.233","1138136.20961016","1126922.40173571","1119905.82453411","1126618.36318237","1606048.85749731"
"M449.254T456.9","449.254036138554","456.948120117188","543700.707776694","541660.295161341","508572.005211804","515347.985009822","539660.95367765"
"M477.1619T251.3","477.161911795626","251.291763305664","50190.5394255281","51939.3027006827","57354.3733735591","53827.402310217","52310.1280800712"
"M510.253T319.2","510.252959043427","319.244384765625","923130.59134855","963071.929749017","962561.637850946","952289.810520444","884003.804793384"
"M512.2684T350.8","512.268441415496","350.788238525391","979352.196405132","969877.872228075","989472.816776821","981790.165096333","980667.240623849"
"M528.2631T327.1","528.263113011556","327.130584716797","544499.7300245","530524.306140851","524152.185916272","524975.916316218","536608.816363514"
"M544.3409T487.9","544.340906400352","487.886993408203","44759.1673124233","46008.8048193815","45790.9941427736","40829.7201866157","46122.8078014742"
"M556.3257T359.3","556.325739273368","359.279632568359","306632.711910623","293546.845240323","280788.734105691","314647.933099866","293778.275965522"
"M559.3972T580.7","559.397198276605","580.699035644531","147277.58928503","150903.309273726","145997.843644039","156509.059319053","147068.10811437"
"M571.4355T660.8","571.435514539004","660.776123046875","104067.652499171","113278.671582371","98398.9781407047","113378.228132825","82127.0198734136"
"M595.4943T629.2","595.494307005471","629.230773925781","4486683.1366954","4490802.07029059","4322275.74966233","4287084.48343311","4417503.56167831"
"M605.2374T552.2","605.237434395608","552.187927246094","419879.998961996","409495.186750179","410723.061463262","417908.523555567","418028.952270184"
"M606.3019T456.9","606.301919671921","456.948120117188","379653.095917562","381357.439535065","351551.093913467","354200.062300585","400154.026242593"
"M630.3015T450.9","630.301525460061","450.881927490234","74726.4794297287","77773.7794275433","69533.4541167775","66753.7681153241","70330.3020858765"
"M654.2998T452.1","654.299844804899","452.094085693359","52401.2437797984","65589.4244582005","54195.5568539079","53737.7820786377","55871.4521432623"
"M691.5022T615.3","691.502242429259","615.277893066406","232948.310375593","234836.881361447","225010.668675418","230685.826119657","230872.202020609"
"M735.5207T656.5","735.520676860189","656.53000000002","322788.136834519","322833.661373586","312421.290329487","314572.405364344","329423.861934452"
"M746.5117T712.9","746.511722075188","712.94599999998","296574.387745964","291373.649962494","280311.083028131","273386.925717601","293231.225696247"
"M762.5068T700.2","762.506766808041","700.206909179688","330749.117383854","322123.252140058","312409.106903419","314247.843154669","323635.805798787"
"M802.2444T503.7","802.244392474716","503.659057617188","72304.2551206485","74238.2116085485","68202.2305634214","75210.8823372729","70233.1810652669"
"M815.5525T677.2","815.552496129859","677.154968261719","1109173.10394201","976891.978555041","974891.589561192","979295.876498986","956992.86087389"
"M836.5789T714.2","836.578860740393","714.158020019531","195770.178024627","200541.934231349","185352.480076464","195483.178927992","190747.655997977"
"M838.5953T733.6","838.595257339942","733.571105957031","231922.969152031","229033.139869457","229970.015167462","228853.548638427","224985.159907023"
"M843.6583T748.7","843.658277142813","748.73599999998","583275.691366346","569410.02647331","550772.940860014","526062.69489209","567761.285574812"
"M859.6899T777.9","859.689852597993","777.853881835938","383891.849484258","378616.019154748","368778.740801221","372231.360931056","371607.436621493"
"M863.5645T752.4","863.564452088968","752.376","402886.224670541","489017.926000802","382325.014816532","374775.051406492","398112.672291768"
"M892.6414T745.1","892.641360476242","745.09600000002","50515.8088040641","66237.0591367848","48523.7505183497","48243.0227447421","44730.2718354339"
"M896.5625T705.7","896.562529066177","705.666","725686.634272159","740405.525890437","644120.066197148","657946.978190724","747269.412727875"
"M899.6458T754.2","899.645760376228","754.195991943349","214143.867063224","207701.310418303","199184.404700241","205623.705032797","203680.690497595"
"M906.6141T676.5","906.614132109798","676.548217773438","127578.782785816","128619.518752415","119868.921017685","119879.126801332","120068.390972051"
"M911.645T748.7","911.645045483469","748.735961914062","150928.149581432","156241.652359726","141187.032449927","147898.068838494","150946.695225683"
"M913.6612T766.3","913.661229156426","766.327331542969","85487.0284561316","83463.4360968758","84099.2466030391","83240.6997355224","86723.5959076251"
