"","mz","rt","GD_012_matrix_RPP_RRHD_B1.mzML","GD_014_matrix_RPP_RRHD_B1.mzML","GD_015_matrix_RPP_RRHD_B1.mzML","GD_017_matrix_RPP_RRHD_B1.mzML","GD_019_matrix_RPP_RRHD_B1.mzML","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M106.0841T37.8","106.084085977184","37.757999420166","0","0","635.16533274555","360.489552057028","211.328338068968","57422.3714969427","64534.4465671409","56098.1661876088","60115.728023343","52813.084587532"
"M146.0599T208.8","146.059918367812","208.82800000002","0","146.47601309123","269.485294871777","686.903302223515","311.390598495724","30007.0327193732","28549.7301613249","23469.0596425667","24866.4721316887","25917.9115879836"
"M154.0479T32.9","154.04785835392","32.9040031433105","438.828590972786","133.51364133041","148.389933349921","144.832201992955","0","124472.847185916","120054.439359369","135984.122230279","126263.648018742","127648.13601765"
"M156.1381T184.6","156.138134917561","184.561569213867","4650.68899650415","4558.07002248566","5587.66421035566","5159.94264662762","5359.80568219885","18553.5756706947","17660.9687843536","20263.9502091943","21427.1456961818","19604.7005161564"
"M192.1051T74.8","192.105130176937","74.76100000002","2806.82086853776","5959.54666189251","5530.99265456248","4096.51046163635","5301.59155659328","58217.9566000592","53369.4860123606","66141.2391179809","78595.4914218445","64913.4134455078"
"M198.1275T563.1","198.127461227125","563.09299999998","2540.62678325221","2758.39066566387","2930.89515063754","3199.76093376721","1215.69069758306","350265.147002548","353366.519519769","365692.301282155","350503.954479368","332988.495401711"
"M210.0502T36.5","210.050163018987","36.54400000002","0","0","0","184.896026917519","0","240503.526265194","231018.84216991","231729.415122141","231870.368563934","229526.322766197"
"M211.0577T49.9","211.057687378044","49.8899955749512","0","0","143.513158111697","203.708116299822","0","52085.0227615356","52254.8309334716","47530.960617865","48910.4495263916","46385.3434769821"
"M211.1438T170.6","211.143816741046","170.607040405273","205.308878048877","0","0","154.449314916924","0","80780.4124525662","85036.5452799887","79800.8409865608","83303.8992876587","83577.3586014426"
"M218.9699T50.5","218.969936422977","50.4969940185547","0","0","0","0","0","61514.732727833","60318.9479957678","58880.6078496932","58799.4088637008","56092.134488463"
