"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M101.0611T87.5","101.061084464689","87.5202713012695","40851.8042068348","48825.2171151819","47767.3513296773","46249.2388693019","47208.8905663016"
"M103.0406T36.3","103.040624811386","36.3410530090332","2219668.86760551","2210229.25197509","2270935.37245502","2288148.2957117","2206427.85179847"
"M113.0973T254.3","113.097334864568","254.312194824219","17767.1790836535","22197.1811161367","17848.7903571842","21791.6601250474","21204.0854379435"
"M115.0404T40.1","115.040377931581","40.0665969848633","643760.598827102","639121.665805631","648789.565771784","654911.236762207","648545.179354651"
"M129.0561T87.5","129.056125270323","87.5017013549805","17764575.4889501","16838159.7464192","16725340.0878908","10804769.0023956","17119291.2642452"
"M130.0662T252.5","130.066209036304","252.497482299805","34331.9186410709","32914.0278362455","29922.0740881348","34417.8089797852","31000.842711652"
"M131.0714T102.7","131.071364926261","102.727432250977","105135.961681065","112391.865961939","108010.353308269","106571.849343859","116710.642568752"
"M143.0712T224.6","143.071189737912","224.60800000002","37499.9232869915","32056.4419386801","35062.9880994196","40455.7477577633","29487.5094403449"
"M145.0869T264.6","145.086910619564","264.603271484375","61966.1756539306","62358.474094821","64206.4824661896","77226.7018646346","62231.9418667045"
"M151.0399T229.7","151.039946926033","229.721054077148","30207.777167169","27589.2630828647","30140.7858426451","29883.4565828816","26138.0935760993"
"M151.0401T189.7","151.040100398521","189.690765380859","36050.4351174575","35361.2218875881","34105.7182917041","35595.4125311737","34248.2457534776"
"M155.0713T242.8","155.071298433049","242.80600000002","46264.5834864808","55520.0995637308","48507.8641862366","49701.6234972246","47718.7706845608"
"M157.087T290.7","157.087013513786","290.731506347656","340866.800737042","344238.22376145","352104.663469813","342374.203051392","352847.889149793"
"M159.1026T312","159.102562618439","311.96500000002","144134.386740128","137248.688866042","142426.210247259","143859.366544593","147753.461662239"
"M160.9989T36.2","160.998944732208","36.2451705932617","205850.471347461","204051.098078866","204621.74621432","199850.54912128","205913.299766418"
"M167.0347T202.2","167.034692900555","202.210540771484","29084.2488777247","28613.3350685119","29671.9172752943","29085.0882856018","24063.8709486898"
"M171.9804T299.8","171.980449830174","299.832244873047","36631.4772772704","31723.6275472178","52665.9911059016","51993.7286099853","35501.7390270844"
"M175.0146T64.6","175.014639759632","64.6112289428711","78832.2508962889","98863.0278856854","95546.0173449014","97225.8712691541","96189.982053178"
"M177.1284T274.3","177.128393685344","274.320678710938","34960.8541296636","37129.3762239969","33135.4704946875","33597.9876647649","36971.0038588091"
"M180.1028T336.2","180.102832037785","336.22999999998","125020.240192505","128823.790522293","117730.672703391","121440.36347827","119367.820794804"
"M182.9886T198","182.988628348146","198.023101806641","112127.073979526","107632.432831661","114490.164653926","107322.820799737","107698.068562247"
"M183.0662T261","183.066175708654","260.962249755859","32396.3932745251","31370.4380015161","28130.6119224459","30161.4336605783","29049.2862519477"
"M183.1389T362.9","183.138867815141","362.92099999998","106659.797435006","99207.7609303755","101822.388587198","102903.010389012","96875.0628648559"
"M185.0433T64.6","185.043268979385","64.6196517944336","61177.8480075648","65139.8212723964","70461.2144919617","63102.7456634059","64450.5461144751"
