"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","161.837007774484","1","1.843","0.2","Narrow (~1.3 m/z)","20"
"TRUE","163.834012472142","1","1.843","0.2","Narrow (~1.3 m/z)","20"
"TRUE","802.61943354279","1","12.206","0.2","Narrow (~1.3 m/z)","20"
"TRUE","835.627228885317","1","12.206","0.2","Narrow (~1.3 m/z)","20"
"TRUE","838.595891992078","1","12.206","0.2","Narrow (~1.3 m/z)","20"
"TRUE","929.537722636563","1","12.206","0.2","Narrow (~1.3 m/z)","20"
"TRUE","951.509790826692","1","12.206","0.2","Narrow (~1.3 m/z)","20"
"TRUE","239.014908990556","1","1.459","0.2","Narrow (~1.3 m/z)","20"
"TRUE","259.017763626966","1","1.459","0.2","Narrow (~1.3 m/z)","20"
"TRUE","606.510833330596","1","11.286","0.2","Narrow (~1.3 m/z)","20"
"TRUE","841.55917205212","1","11.286","0.2","Narrow (~1.3 m/z)","20"
"TRUE","225.917148936478","1","3.998","0.2","Narrow (~1.3 m/z)","20"
"TRUE","609.144388299887","1","3.998","0.2","Narrow (~1.3 m/z)","20"
"TRUE","261.176450973552","1","7.191","0.2","Narrow (~1.3 m/z)","20"
"TRUE","297.153181801776","1","7.191","0.2","Narrow (~1.3 m/z)","20"
"TRUE","381.214818946764","1","7.191","0.2","Narrow (~1.3 m/z)","20"
"TRUE","391.285008867882","1","7.191","0.2","Narrow (~1.3 m/z)","20"
"TRUE","397.151406818568","1","7.191","0.2","Narrow (~1.3 m/z)","20"
"TRUE","407.105792459213","1","7.191","0.2","Narrow (~1.3 m/z)","20"
"TRUE","443.082488990719","1","7.191","0.2","Narrow (~1.3 m/z)","20"
"TRUE","475.09307059774","1","7.191","0.2","Narrow (~1.3 m/z)","20"
"TRUE","507.250576994729","1","7.191","0.2","Narrow (~1.3 m/z)","20"
"TRUE","511.069752000096","1","7.191","0.2","Narrow (~1.3 m/z)","20"
"TRUE","787.591778415981","1","12.044","0.2","Narrow (~1.3 m/z)","20"
"TRUE","922.577324820745","1","12.044","0.2","Narrow (~1.3 m/z)","20"
"TRUE","515.10399716087","1","5.25","0.2","Narrow (~1.3 m/z)","20"
"TRUE","774.53683793195","1","11.165","0.2","Narrow (~1.3 m/z)","20"
"TRUE","786.536994303492","1","11.165","0.2","Narrow (~1.3 m/z)","20"
"TRUE","874.526668897958","1","11.165","0.2","Narrow (~1.3 m/z)","20"
"TRUE","907.539862282424","1","11.165","0.2","Narrow (~1.3 m/z)","20"
"TRUE","910.503324379868","1","11.165","0.2","Narrow (~1.3 m/z)","20"
"TRUE","922.462801265423","1","11.165","0.2","Narrow (~1.3 m/z)","20"
"TRUE","922.517950571667","1","11.165","0.2","Narrow (~1.3 m/z)","20"
"TRUE","954.48476565818","1","11.165","0.2","Narrow (~1.3 m/z)","20"
"TRUE","956.492004534269","1","11.165","0.2","Narrow (~1.3 m/z)","20"
"TRUE","978.499781433792","1","11.165","0.2","Narrow (~1.3 m/z)","20"
"TRUE","194.97961965163","1","0.858","0.2","Narrow (~1.3 m/z)","20"
"TRUE","426.971302983059","1","6.099","0.2","Narrow (~1.3 m/z)","20"
"TRUE","203.115871390481","1","5.624","0.2","Narrow (~1.3 m/z)","20"
"TRUE","229.144954097158","1","5.624","0.2","Narrow (~1.3 m/z)","20"
"TRUE","239.092624008136","1","5.624","0.2","Narrow (~1.3 m/z)","20"
"TRUE","355.064843155579","1","5.624","0.2","Narrow (~1.3 m/z)","20"
"TRUE","369.071797541927","1","5.624","0.2","Narrow (~1.3 m/z)","20"
"TRUE","427.215509339126","1","5.624","0.2","Narrow (~1.3 m/z)","20"
"TRUE","337.976301176305","1","5.847","0.2","Narrow (~1.3 m/z)","20"
"TRUE","830.542951107135","1","11.205","0.2","Narrow (~1.3 m/z)","20"
"TRUE","831.21291776984","1","11.205","0.2","Narrow (~1.3 m/z)","20"
"TRUE","832.209202263676","1","11.205","0.2","Narrow (~1.3 m/z)","20"
"TRUE","843.228485736955","1","11.205","0.2","Narrow (~1.3 m/z)","20"
"TRUE","866.515737860531","1","11.205","0.2","Narrow (~1.3 m/z)","20"
"TRUE","879.207147022192","1","11.205","0.2","Narrow (~1.3 m/z)","20"
"TRUE","894.196191365918","1","11.205","0.2","Narrow (~1.3 m/z)","20"
"TRUE","572.554946059184","1","12.1","0.2","Narrow (~1.3 m/z)","20"
"TRUE","706.563386332385","1","12.1","0.2","Narrow (~1.3 m/z)","20"
"TRUE","730.55693360289","1","12.1","0.2","Narrow (~1.3 m/z)","20"
"TRUE","742.539523900603","1","12.1","0.2","Narrow (~1.3 m/z)","20"
"TRUE","817.664230265009","1","12.1","0.2","Narrow (~1.3 m/z)","20"
"TRUE","844.632497150568","1","12.1","0.2","Narrow (~1.3 m/z)","20"
"TRUE","853.641037293334","1","12.1","0.2","Narrow (~1.3 m/z)","20"
"TRUE","344.975846623726","1","4.997","0.2","Narrow (~1.3 m/z)","20"
"TRUE","427.220701921868","1","4.997","0.2","Narrow (~1.3 m/z)","20"
"TRUE","877.680474548042","1","12.772","0.2","Narrow (~1.3 m/z)","20"
"TRUE","204.066675024354","1","3.22","0.2","Narrow (~1.3 m/z)","20"
"TRUE","182.007282092456","1","5.584","0.2","Narrow (~1.3 m/z)","20"
"TRUE","229.084210057316","1","5.584","0.2","Narrow (~1.3 m/z)","20"
"TRUE","428.324468649453","1","5.584","0.2","Narrow (~1.3 m/z)","20"
"TRUE","464.301134566109","1","5.584","0.2","Narrow (~1.3 m/z)","20"
"TRUE","475.313385577276","1","5.584","0.2","Narrow (~1.3 m/z)","20"
"TRUE","511.290025258906","1","5.584","0.2","Narrow (~1.3 m/z)","20"
"TRUE","447.270769335824","1","7.242","0.2","Narrow (~1.3 m/z)","20"
"TRUE","168.975680340431","1","5.543","0.2","Narrow (~1.3 m/z)","20"
"TRUE","888.607455020907","1","12.166","0.2","Narrow (~1.3 m/z)","20"
"TRUE","924.587276152522","1","12.166","0.2","Narrow (~1.3 m/z)","20"
"TRUE","241.167638677775","1","7.232","0.2","Narrow (~1.3 m/z)","20"
"TRUE","277.144320647311","1","7.232","0.2","Narrow (~1.3 m/z)","20"
"TRUE","475.235700472031","1","7.232","0.2","Narrow (~1.3 m/z)","20"
"TRUE","279.163544125521","1","7.454","0.2","Narrow (~1.3 m/z)","20"
"TRUE","624.952467460285","1","5.381","0.2","Narrow (~1.3 m/z)","20"
"TRUE","503.272413693559","1","4.542","0.2","Narrow (~1.3 m/z)","20"
