"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","129.056125270323","1","1.458","0.2","Narrow (~1.3 m/z)","20"
"TRUE","150.886863961898","1","0.562","0.2","Narrow (~1.3 m/z)","20"
"TRUE","213.149531834264","1","6.544","0.2","Narrow (~1.3 m/z)","20"
"TRUE","226.920230333446","1","3.998","0.2","Narrow (~1.3 m/z)","20"
"TRUE","239.164967170781","1","7.06","0.2","Narrow (~1.3 m/z)","20"
"TRUE","254.928566814924","1","1.459","0.2","Narrow (~1.3 m/z)","20"
"TRUE","269.211881113614","1","9.911","0.2","Narrow (~1.3 m/z)","20"
"TRUE","277.144356555921","1","7.232","0.2","Narrow (~1.3 m/z)","20"
"TRUE","283.069886787991","1","8.9","0.2","Narrow (~1.3 m/z)","20"
"TRUE","295.028046124465","1","3.769","0.2","Narrow (~1.3 m/z)","20"
"TRUE","297.243119382055","1","7.737","0.2","Narrow (~1.3 m/z)","20"
"TRUE","309.279496524676","1","10.72","0.2","Narrow (~1.3 m/z)","20"
"TRUE","310.214599442372","1","9.648","0.2","Narrow (~1.3 m/z)","20"
"TRUE","339.23413851782","1","9.628","0.2","Narrow (~1.3 m/z)","20"
"TRUE","356.162413479697","1","9.911","0.2","Narrow (~1.3 m/z)","20"
"TRUE","381.173522044038","1","10.093","0.2","Narrow (~1.3 m/z)","20"
"TRUE","383.986224702992","1","5.978","0.2","Narrow (~1.3 m/z)","20"
"TRUE","387.147964200744","1","9.911","0.2","Narrow (~1.3 m/z)","20"
"TRUE","391.284885369984","1","9.213","0.2","Narrow (~1.3 m/z)","20"
"TRUE","395.152852865465","1","9.648","0.2","Narrow (~1.3 m/z)","20"
"TRUE","397.368442992079","1","10.467","0.2","Narrow (~1.3 m/z)","20"
"TRUE","398.132539685071","1","9.638","0.2","Narrow (~1.3 m/z)","20"
"TRUE","411.119009191924","1","9.911","0.2","Narrow (~1.3 m/z)","20"
"TRUE","413.21195378974","1","9.638","0.2","Narrow (~1.3 m/z)","20"
