"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","313.237491094321","1","10.234","0.2","Narrow (~1.3 m/z)","20"
"TRUE","321.217060879595","1","8.606","0.2","Narrow (~1.3 m/z)","20"
"TRUE","352.112227058567","1","4.128","0.2","Narrow (~1.3 m/z)","20"
"TRUE","429.300186812707","1","7.322","0.2","Narrow (~1.3 m/z)","20"
"TRUE","445.293983787347","1","6.392","0.2","Narrow (~1.3 m/z)","20"
"TRUE","448.306254981246","1","6.463","0.2","Narrow (~1.3 m/z)","20"
"TRUE","450.312459674186","1","6.22","0.2","Narrow (~1.3 m/z)","20"
"TRUE","467.309265508967","1","9.951","0.2","Narrow (~1.3 m/z)","20"
"TRUE","470.25788921854","1","7.241","0.2","Narrow (~1.3 m/z)","20"
"TRUE","476.278406329423","1","7.99","0.2","Narrow (~1.3 m/z)","20"
"TRUE","477.281244406166","1","7.99","0.2","Narrow (~1.3 m/z)","20"
"TRUE","478.283686049133","1","7.99","0.2","Narrow (~1.3 m/z)","20"
"TRUE","479.296905715602","1","8.424","0.2","Narrow (~1.3 m/z)","20"
"TRUE","480.309378796661","1","8.96","0.2","Narrow (~1.3 m/z)","20"
"TRUE","498.261946297013","1","7.626","0.2","Narrow (~1.3 m/z)","20"
"TRUE","529.204619982944","1","6.857","0.2","Narrow (~1.3 m/z)","20"
"TRUE","543.345187320155","1","9.415","0.2","Narrow (~1.3 m/z)","20"
"TRUE","561.141607607078","1","6.857","0.2","Narrow (~1.3 m/z)","20"
"TRUE","562.415896631817","1","9.931","0.2","Narrow (~1.3 m/z)","20"
"TRUE","581.239802976027","1","9.102","0.2","Narrow (~1.3 m/z)","20"
"TRUE","586.264011854905","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","605.237434395608","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","606.240360644948","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","615.459654402693","1","10.204","0.2","Narrow (~1.3 m/z)","20"
"TRUE","616.463042532994","1","10.204","0.2","Narrow (~1.3 m/z)","20"
"TRUE","617.475345654307","1","10.588","0.2","Narrow (~1.3 m/z)","20"
"TRUE","637.17432888772","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","638.17741437433","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","639.175515877308","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","699.514346498204","1","11.933","0.2","Narrow (~1.3 m/z)","20"
"TRUE","722.3148103572","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","723.51532286773","1","11.933","0.2","Narrow (~1.3 m/z)","20"
"TRUE","725.529533815771","1","11.993","0.2","Narrow (~1.3 m/z)","20"
"TRUE","727.546417368187","1","12.297","0.2","Narrow (~1.3 m/z)","20"
"TRUE","746.511722075188","1","11.892","0.2","Narrow (~1.3 m/z)","20"
"TRUE","749.530736085238","1","12.004","0.2","Narrow (~1.3 m/z)","20"
"TRUE","763.509933516987","1","11.68","0.2","Narrow (~1.3 m/z)","20"
"TRUE","775.67718845203","1","5.28","0.2","Narrow (~1.3 m/z)","20"
"TRUE","791.521816539913","1","11.296","0.2","Narrow (~1.3 m/z)","20"
"TRUE","822.63070208302","1","12.6","0.2","Narrow (~1.3 m/z)","20"
"TRUE","861.549673144513","1","12.196","0.2","Narrow (~1.3 m/z)","20"
"TRUE","885.548524006381","1","12.206","0.2","Narrow (~1.3 m/z)","20"
"TRUE","972.585718598073","1","12.165","0.2","Narrow (~1.3 m/z)","20"
