"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","279.2328","1","9.637","0.2","Narrow (~1.3 m/z)","20"
"TRUE","662.4213","1","10.083","0.2","Narrow (~1.3 m/z)","20"
"TRUE","303.2328","1","9.639","0.2","Narrow (~1.3 m/z)","20"
"TRUE","290.3017","1","9.6","0.2","Narrow (~1.3 m/z)","20"
"TRUE","925.6622","1","12.58","0.2","Narrow (~1.3 m/z)","20"
"TRUE","549.4151","1","9.301","0.2","Narrow (~1.3 m/z)","20"
"TRUE","337.148","1","4.25","0.2","Narrow (~1.3 m/z)","20"
"TRUE","854.6711","1","12.65","0.2","Narrow (~1.3 m/z)","20"
"TRUE","752.547","1","11.161","0.2","Narrow (~1.3 m/z)","20"
"TRUE","537.4157","1","9.68","0.2","Narrow (~1.3 m/z)","20"
"TRUE","493.4257","1","9.926","0.2","Narrow (~1.3 m/z)","20"
"TRUE","872.5622","1","11.892","0.2","Narrow (~1.3 m/z)","20"
"TRUE","745.5506","1","10.94","0.2","Narrow (~1.3 m/z)","20"
"TRUE","595.4942","1","10.502","0.2","Narrow (~1.3 m/z)","20"
"TRUE","622.9775","1","7.062","0.2","Narrow (~1.3 m/z)","20"
"TRUE","429.3004","1","7.318","0.2","Narrow (~1.3 m/z)","20"
"TRUE","554.346","1","8.457","0.2","Narrow (~1.3 m/z)","20"
"TRUE","694.4105","1","10.601","0.2","Narrow (~1.3 m/z)","20"
"TRUE","556.3258","1","5.96","0.2","Narrow (~1.3 m/z)","20"
"TRUE","391.2849","1","7.182","0.2","Narrow (~1.3 m/z)","20"
"TRUE","311.1692","1","7.582","0.2","Narrow (~1.3 m/z)","20"
"TRUE","832.6094","1","12.407","0.2","Narrow (~1.3 m/z)","20"
"TRUE","848.5434","1","11.177","0.2","Narrow (~1.3 m/z)","20"
"TRUE","531.4408","1","11.152","0.2","Narrow (~1.3 m/z)","20"
"TRUE","780.5552","1","11.609","0.2","Narrow (~1.3 m/z)","20"
"TRUE","507.223","1","6.854","0.2","Narrow (~1.3 m/z)","20"
"TRUE","817.5729","1","6.226","0.2","Narrow (~1.3 m/z)","20"
"TRUE","165.0408","1","7.759","0.2","Narrow (~1.3 m/z)","20"
"TRUE","369.1745","1","5.017","0.2","Narrow (~1.3 m/z)","20"
"TRUE","512.2684","1","5.845","0.2","Narrow (~1.3 m/z)","20"
"TRUE","776.162","1","10.039","0.2","Narrow (~1.3 m/z)","20"
"TRUE","853.5233","1","10.939","0.2","Narrow (~1.3 m/z)","20"
"TRUE","189.0409","1","0.632","0.2","Narrow (~1.3 m/z)","20"
"TRUE","610.3355","1","7.804","0.2","Narrow (~1.3 m/z)","20"
"TRUE","299.2585","1","8.108","0.2","Narrow (~1.3 m/z)","20"
"TRUE","471.2538","1","9.367","0.2","Narrow (~1.3 m/z)","20"
"TRUE","884.6038","1","12.196","0.2","Narrow (~1.3 m/z)","20"
"TRUE","100.9336","1","11.809","0.2","Narrow (~1.3 m/z)","20"
"TRUE","894.2037","1","11.196","0.2","Narrow (~1.3 m/z)","20"
"TRUE","502.2736","1","11.453","0.2","Narrow (~1.3 m/z)","20"
"TRUE","103.0406","1","0.587","0.2","Narrow (~1.3 m/z)","20"
"TRUE","102.975","1","0.546","0.2","Narrow (~1.3 m/z)","20"
"TRUE","396.913","1","0.551","0.2","Narrow (~1.3 m/z)","20"
"TRUE","297.1534","1","7.212","0.2","Narrow (~1.3 m/z)","20"
"TRUE","472.9872","1","6.099","0.2","Narrow (~1.3 m/z)","20"
"TRUE","424.9855","1","5.845","0.2","Narrow (~1.3 m/z)","20"
"TRUE","301.2381","1","9.909","0.2","Narrow (~1.3 m/z)","20"
"TRUE","796.5657","1","11.736","0.2","Narrow (~1.3 m/z)","20"
"TRUE","896.5625","1","11.758","0.2","Narrow (~1.3 m/z)","20"
