"","mz","rt","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M100.076T37.8","100.075973678413","37.757999420166","2565382.30421022","2654940.88950456","2731762.51575883","2647833.29988483","2610510.06954106"
"M122.0579T37.8","122.057881774709","37.7570037841797","2170936.9870963","2028794.35738403","2039999.53747608","2132106.21735261","2042985.63156254"
"M149.0184T35.3","149.01843969793","35.3310012817383","318902.497309581","318670.666366391","310650.661701978","301589.182441636","305606.770477804"
"M152.0706T40.8","152.070579985569","40.791","458484.721702331","476614.367457711","512456.222934291","487138.590793858","498406.448193787"
"M153.1272T92.4","153.127191847649","92.35300000002","50161.960186455","50105.3804997463","51383.276736962","51754.4898681756","51470.7938722539"
"M160.1331T143.9","160.133086723292","143.918182373047","499847.041021351","487005.11836865","480557.654191296","498014.190127798","483714.143016278"
"M162.1125T32.3","162.112545261075","32.297004699707","882806.270238283","1101072.9076596","1022342.11811932","1000398.33896591","1041710.22903011"
"M163.1118T308.3","163.111781726072","308.313","107195.886502734","108495.937404968","117034.316113104","123601.823811509","120369.087116455"
"M166.0867T36.5","166.086711149089","36.5439910888672","13337104.0849221","12787310.8722695","13665771.4792925","13800867.5469453","13611468.1609094"
"M167.0854T345.9","167.08537438299","345.923126220703","335617.845305052","318993.522312424","325843.13557547","303111.60901106","306088.459932129"
"M172.1331T52.9","172.133130130812","52.9220542907715","174170.190698579","170512.092088825","172998.84725407","181465.346984745","175139.027535673"
"M175.0626T221.6","175.062603968242","221.567123413086","118581.671151021","115971.049418085","113956.45662028","108842.205688631","108110.881727886"
"M180.0655T75.4","180.065460173854","75.3672294616699","724219.310552848","321363.912213972","771204.451412548","739986.953344196","731908.778983918"
"M182.0811T32.9","182.081144135403","32.9045009613037","967750.374050202","946913.3441801","1022122.50631009","985406.984710099","999626.548855264"
"M188.0708T47.5","188.070812832409","47.4630006256103","1248335.83507658","1271662.06801131","1332933.45992738","1339993.6554379","1318025.8568043"
"M195.0879T71.7","195.087875264861","71.72800000002","4634362.00732307","4710613.00080831","4734374.19756099","4704614.1143967","4655691.51220057"
"M203.0527T32.9","203.052651384329","32.9040031433105","1209236.94339638","1331844.95726729","1236903.65267578","1223781.11843262","1272168.24460028"
"M205.0973T47.5","205.097275321342","47.4629910888672","7465316.48711178","7467029.83988773","7919909.80600943","7976243.12836867","7913171.73441312"
"M223.0965T336.8","223.096545933855","336.824096679688","817570.992647132","783195.433160269","721587.536858982","711960.039337456","713667.557686588"
"M227.0792T47.5","227.079234529633","47.4635009765625","816842.483329912","834007.657181396","841649.216784721","809912.765703193","808218.677591674"
"M233.9846T239.8","233.984562526838","239.765029907227","256017.903366141","245960.199424406","230718.008815734","252440.712673278","249241.105290157"
"M239.0912T231.3","239.091247463278","231.272872924805","202210.581954856","212527.545931438","194494.132732439","208272.77858973","209913.451658735"
"M245.1857T113","245.185719751696","112.977867126465","395982.971079172","395913.216192913","395986.911459617","386440.842846938","394813.192987449"
"M246.17T51.7","246.170049181726","51.7089614868164","688307.594636657","697524.299595558","715910.888722281","697877.032012939","695516.97853258"
"M247.1444T46.9","247.144446556386","46.8559799194336","1297732.65617451","1308498.79785804","1372440.46737031","1312152.87839476","1337358.03601018"
"M253.6317T442.4","253.631650843075","442.37599999998","348232.520691524","357531.499325533","390287.826058998","337314.502802307","330128.333337739"
"M256.1093T185.2","256.109349273547","185.16658001709","392985.221578527","397564.073866095","402868.700252801","407721.098946677","414002.199481347"
"M260.1854T142.1","260.185423497044","142.095642089844","278133.810833899","271778.877591369","269356.160041979","270434.497878915","274526.701153699"
"M263.1269T302.9","263.12693086029","302.85302734375","40009.5766986859","45548.4988469761","34511.7527498512","38495.0625100444","40971.2966263774"
"M264.1955T130","264.195548648063","129.963256835938","68849.5438841679","66391.6875604591","64168.9721793644","65876.3492565674","63545.3714131657"
"M267.0425T72.9","267.042461023092","72.94099999998","320947.609099625","335779.821197846","352822.203016205","335883.634257317","330326.703273523"
"M267.6477T489.6","267.647707727839","489.624816894531","2328984.76069088","2463600.20595579","2583509.34462013","2376069.70334001","2389067.8535714"
"M267.9948T108.7","267.994832880987","108.730895996094","133382.59288128","128083.647754036","114658.867063669","133078.648039927","133984.455770792"
"M274.1833T324.7","274.183303767276","324.692016601562","120540.987506063","118365.796956674","124588.350607052","119540.636876026","122100.508817068"
"M275.0111T239.8","275.011075577759","239.765029907227","92650.2611333592","88508.9674642452","76575.7040416294","93007.7584839528","91854.1267815734"
"M276.1261T211.3","276.126138435206","211.254028320312","320653.572449289","312351.730167088","314909.032929715","343520.712691222","344806.487412012"
"M279.6477T472.1","279.647720462938","472.099911499013","2372642.10203785","2371127.16820947","2551349.29138599","2352062.43075539","1160234.09055804"
"M280.6556T500","280.655564553306","500.005004882812","2694509.57593619","2754383.88744565","2827840.69456672","2652769.54420066","2611209.54351654"
"M283.0073T194.9","283.007290875255","194.874710083008","98003.4579927159","103728.125228158","106229.685158297","102143.485776897","100425.44942328"
"M283.2417T251.3","283.241722575452","251.289901733398","104955.777354285","105039.471802182","120533.337106398","111560.554317135","108676.984665288"
"M286.0739T99.6","286.073926055911","99.6318435668945","23650.9326435509","25210.6482405435","24619.6011823242","24423.35500165","21761.780968627"
"M286.2015T226.4","286.201452670541","226.42000000002","2122508.70390893","2151826.77163275","2105683.2963018","2132574.74912416","2102949.08712752"
"M286.6359T472.7","286.635900103213","472.707","168544.711054634","168538.825246728","155720.895895116","169345.155332228","163234.744521136"
"M287.1001T76","287.100141926449","75.9743085021873","578059.874136174","261157.308198147","607222.91968527","550169.247251496","547128.113498199"
"M288.2169T265.8","288.216902862247","265.849761962891","1300447.87422162","1278486.97858761","1208278.72943032","1229582.33134436","1224645.6257082"
"M290.1391T106.3","290.139140046613","106.306015014648","5080851.96465656","5078255.34625554","5051350.85759031","5003326.5370363","4964801.97025978"
"M291.0903T421.1","291.09033850275","421.144006225596","130744.115524421","123200.287019828","144545.012147128","122560.84482021","116667.527179843"
"M296.1215T234.9","296.121523388133","234.912048339844","709397.053433734","720349.438664765","733841.589127587","725153.396743961","700023.223156636"
