"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M117.0562T65.1","117.05620315754","65.059326171875","2619958.97871703","2239519.45759046","2345893.08630226","2228526.57895424","2226702.62808262"
"M129.0561T87.5","129.056125270323","87.5017013549805","17764575.4889501","16838159.7464192","16725340.0878908","10804769.0023956","17119291.2642452"
"M129.0561T74.8","129.056129710815","74.77300000002","6437338.05619238","5870132.07608318","6074814.85125807","6057569.40179838","5969872.57180123"
"M137.0248T239.9","137.024812439713","239.871459960938","11377976.4570352","11432529.1826451","11410014.6486166","11394831.0904819","11645625.1638983"
"M146.9835T33.1","146.983452351841","33.0512771606445","767071.791573006","783527.552515086","798009.39757597","808778.712760506","747607.289756735"
"M150.8869T33.7","150.886863961898","33.6911773681641","207881.046869138","215407.809930975","188910.904362499","199267.507868613","222727.562630551"
"M172.992T51.5","172.992020255063","51.4571151733398","2270998.51393651","2311636.52345864","2365667.89040896","2355245.41059341","2378901.94676138"
"M175.0146T64.6","175.014639759632","64.6112289428711","78832.2508962889","98863.0278856854","95546.0173449014","97225.8712691541","96189.982053178"
"M187.0077T110.6","187.007729648212","110.564002990723","27299061.855022","27323956.4994373","27300083.7110591","27264463.4405807","27571166.5970464"
"M195.8108T110.6","195.810825266749","110.564002990723","530116.371082384","618835.13615313","539327.060558002","537395.245913559","644903.770899482"
"M199.007T190.2","199.007040317046","190.209930419922","966635.531970512","429916.198810234","948764.129907402","950290.189445194","926505.70990796"
"M201.0227T219.6","201.022658378138","219.579544067383","291735.825646178","294676.697469687","279536.111602932","282182.921571508","290598.087280863"
"M203.002T85.7","203.002020854997","85.6743469238281","326072.561598191","295857.678899526","307452.177845699","310699.267776782","306439.059774463"
"M204.0667T193.1","204.066676424172","193.140930175781","280472.201889714","282730.365998263","268496.692710325","272024.360320602","277773.066111228"
"M207.012T183.2","207.011985762695","183.173370361328","455106.382284853","448316.181969874","471887.227195964","481133.448263671","453853.552432325"
"M210.8424T33.7","210.842401772793","33.6911773681641","82156.4764518872","89941.6767409919","77598.0889292635","79837.1990794063","93726.6388433674"
"M212.0026T56.8","212.002640068357","56.8479652404785","1210653.14504294","939563.333384026","964282.074254105","922795.374375381","916764.543775485"
"M213.1495T392.6","213.149531834264","392.644989013672","108366.338103911","85369.3153160653","97283.0668832744","107189.573679434","134883.898471498"
"M215.0021T151.7","215.002070399832","151.736236572266","142925.531086017","139424.366847858","140788.498324552","139872.204275795","134240.174164571"
"M217.0177T194.9","217.017668843095","194.921737670898","208906.47681339","160384.831036963","156254.534201448","164196.617474902","157778.57677108"
"M226.9202T239.9","226.920230333446","239.869842529297","169800.186752929","171930.91218148","164900.372684006","163963.10483534","173000.986554883"
"M227.038T271.3","227.037969496261","271.282104492188","180989.972799106","173886.570447907","168981.279859701","228255.961879412","164722.57026118"
"M232.9731T64.4","232.973126439247","64.4294586181641","7903.98858479817","12243.9769382812","10702.6531957012","11850.4372185834","12129.3516600769"
"M234.8594T34.3","234.85941215565","34.3307456970215","156989.180647266","175577.980358916","186639.867730371","187359.858318397","180389.79696301"
"M240.9133T236.7","240.91333298294","236.74000000002","498942.962388251","489436.719459702","497435.503649953","513212.233431545","495076.852659242"
"M241.1805T450.9","241.180534016374","450.881927490234","155202.48459318","149886.413046399","144298.946190663","116751.853994254","120072.644616054"
"M241.9206T65.1","241.920630644751","65.067","289957.848910524","196427.929427119","213686.957842989","203149.837195616","195990.209316676"
"M245.0122T210.6","245.012193806571","210.638634338389","75027.5734119566","72586.1199288463","78691.510601876","74622.4326872127","66386.7165859442"
"M250.1447T467.3","250.144651213398","467.261291503906","775250.556660983","825791.32709268","860017.158729963","884707.059872298","852971.071007281"
"M251.1287T337.4","251.128651704313","337.442993164062","116463.135096932","119599.571255405","111970.236650643","111189.964374401","118149.002006178"
"M255.8221T111.2","255.82206655952","111.155662536621","394710.212325076","431289.963839753","409589.697964775","430565.17139502","443167.653365993"
"M261.0414T48.6","261.041363264287","48.5696678161621","57993.7705220085","61107.9218980888","62654.4994105057","62327.6258038817","58147.2865612278"
"M261.8893T239.9","261.889283353723","239.880889892578","223493.489303947","244668.520028825","213453.541519959","208504.462713286","230236.53601187"
"M266.804T46.4","266.803958029825","46.4030418395996","85271.0349711755","76192.2178582189","76216.968846823","71074.7411907948","77983.1723775864"
"M267.1239T395.1","267.123933852591","395.07100000002","1480829.89901921","1522329.4256853","1463338.39379727","1499017.34637382","1503427.13042206"
"M271.2276T539.1","271.227645457626","539.064971923828","744419.702929995","739343.888948881","701107.02960048","864140.783814093","734574.188816234"
"M271.9181T240.4","271.918072819633","240.425633850088","83474.9268269369","83422.3301574249","73729.6819772057","75598.064764328","73150.9569957143"
"M277.1444T433.9","277.144356555921","433.896087646484","605507.639703589","590332.193964188","567085.994591155","583304.885408304","590120.137748265"
"M277.217T554.6","277.217011262177","554.614929199219","170615.843146728","169978.724249618","165749.933844465","169676.684076543","167638.866337408"
"M279.2328T578.3","279.23283261886","578.273071289062","880334.011144563","862520.558512793","805694.799534875","829388.38737765","887083.584372835"
"M280.6225T308.3","280.622475022589","308.325454711914","363115.544058344","356931.544391653","357495.420204573","366457.814256116","345621.960544018"
"M281.2483T608.1","281.248301388735","608.054382324219","1583612.26334521","1605091.60120181","1526268.44328401","1601941.97191106","1616803.9752995"
"M281.2486T605.6","281.248552189799","605.57080078125","1522554.80297182","1537043.37728418","1453270.9042802","1528868.41435556","1551880.31737742"
