"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M313.2375T605.6","313.237491094321","605.571044921875","239187.049664329","242716.66596145","232905.986279838","233992.086831023","234156.524513921"
"M429.3002T439.4","429.300186812707","439.35499999998","70632.0451699837","69777.6437683246","68233.9240231773","70700.6941805503","68979.4239772904"
"M467.3093T598.3","467.309265508967","598.29100000002","453980.034768077","442309.545930058","444480.129879408","448088.988558965","428427.090583473"
"M474.2619T456.9","474.261865770211","456.948120117188","105503.727301392","105780.745437846","106387.234734281","104304.881944263","110472.651097116"
"M476.2784T478.8","476.278406329423","478.787811279297","3989446.05939721","3947353.10940818","3736920.11985062","3734353.99515423","3870321.47421842"
"M477.2812T478.8","477.281244406166","478.787811279297","994401.532559677","996997.101009287","957888.962576163","982353.94438655","998437.892104194"
"M478.2837T478.8","478.283686049133","478.787811279297","173341.307912051","173009.328033462","173269.23456429","162570.473162396","174304.502926626"
"M478.2937T505.5","478.293729357938","505.479156494141","1851339.97605822","1879152.51606529","1803999.38206729","1808703.95152259","1867995.54698292"
"M479.2969T505.5","479.296905715602","505.479156494141","478478.403209372","476765.741083789","455036.850894806","465463.907342471","480459.44136923"
"M480.3094T537.6","480.309378796661","537.628967285156","1242446.69415738","1221551.49260954","1206732.40266181","1204496.3724785","1205365.44256006"
"M488.3308T427.8","488.330814578235","427.829864501953","13751.1864709669","33821.8840138286","25641.6945246143","30519.7938199917","28243.1569817459"
"M498.2619T458.2","498.261946297013","458.160461425781","92387.5097956165","100501.661778498","96183.4232305785","100709.106850043","88750.8908616177"
"M543.3452T564.9","543.345187320155","564.926940917969","138010.006840327","132883.049080643","121969.788873096","125447.755977325","131376.707366308"
"M559.3972T580.7","559.397198276605","580.699035644531","147277.58928503","150903.309273726","145997.843644039","156509.059319053","147068.10811437"
"M562.4159T596.5","562.415896631817","596.47265625","33540.2908457521","36315.5683189166","59336.7285786666","61443.4501775732","37795.6086539194"
"M573.487T704.5","573.486950363385","704.45299999998","130111.983495134","97134.6235278845","87476.0841145235","113997.784171103","117971.957887005"
"M580.442T686.9","580.4420193065","686.86083984375","98954.1260587468","96557.8605724187","94654.743683931","98209.8381148031","98062.0681182292"
"M615.4597T614.1","615.459654402693","614.063842773438","385839.712829929","388478.923747561","368588.858498686","372689.732241511","381877.285431519"
"M616.463T614.1","616.463042532994","614.062744140625","151375.887644056","150255.754179456","144634.895166697","148437.477713782","152148.919277527"
"M617.4753T629.8","617.475345654307","629.837097167969","434804.100242911","436966.704686884","426624.408564162","430239.99136101","430093.005718946"
"M738.5067T702.6","738.506675304698","702.632507324219","313313.926110779","309707.575015336","295593.858223617","300820.853602724","297765.571177888"
"M739.5099T702.6","739.509851407506","702.633","156703.023536365","150060.967974377","141490.977004413","146287.25618726","146079.394986526"
"M746.5117T712.9","746.511722075188","712.94599999998","296574.387745964","291373.649962494","280311.083028131","273386.925717601","293231.225696247"
"M748.5276T720.2","748.527603477212","720.225","645491.270263898","638275.239770847","609681.844392317","624025.785578778","630474.148399166"
"M749.5307T720.2","749.530736085238","720.22509765625","302267.453052096","300848.730082209","282348.073536468","283928.919700566","286076.122014252"
"M751.4343T614.1","751.434257963299","614.06299999998","57496.7404545175","61031.1135372764","56936.0119838729","61270.9382895377","58796.7514967762"
"M751.5466T737.2","751.546623969536","737.211120605469","303551.751932428","296334.302717738","285938.444975537","282342.738539468","290443.630537075"
"M762.5068T700.2","762.506766808041","700.206909179688","330749.117383854","322123.252140058","312409.106903419","314247.843154669","323635.805798787"
"M861.5497T732.4","861.549673144513","732.356994628906","1650012.30620094","1623098.49331884","1562616.03529203","1566233.99381118","1595686.28702894"
"M885.5485T736.3","885.548524006381","736.258544921875","4655824.84370632","4601219.25654326","4448259.16419361","4480163.90611961","4558318.17187402"
"M885.5505T732.4","885.550499216047","732.357727050781","4549070.67789887","4498938.89378078","4357240.40919287","4390923.29946899","4457481.00854413"
"M892.5302T682","892.530230297255","682.008547119141","261475.564704473","322092.897745497","260360.902184578","264336.607214101","291188.809908035"
"M973.6554T756","973.655398522823","756.015869140625","93311.3017191812","89873.2312200245","89984.2625402114","86779.5874559781","97183.8704580689"
