"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","73.1231581225835","1","0.589","0.2","Narrow (~1.3 m/z)","20"
"TRUE","89.0970981225835","1","0.589","0.2","Narrow (~1.3 m/z)","20"
"TRUE","105.054185441643","1","0.589","0.2","Narrow (~1.3 m/z)","20"
"TRUE","106.11637105616","1","0.589","0.2","Narrow (~1.3 m/z)","20"
"TRUE","107.070743961473","1","0.589","0.2","Narrow (~1.3 m/z)","20"
"TRUE","111.079531831997","1","0.589","0.2","Narrow (~1.3 m/z)","20"
"TRUE","132.103714545783","1","0.589","0.2","Narrow (~1.3 m/z)","20"
"TRUE","145.031600463629","1","0.589","0.2","Narrow (~1.3 m/z)","20"
"TRUE","207.17434562709","1","0.589","0.2","Narrow (~1.3 m/z)","20"
"TRUE","327.962283406877","1","0.589","0.2","Narrow (~1.3 m/z)","20"
"TRUE","334.148471212545","1","0.589","0.2","Narrow (~1.3 m/z)","20"
"TRUE","485.361204346686","1","11.377","0.2","Narrow (~1.3 m/z)","20"
"TRUE","531.420458638539","1","11.377","0.2","Narrow (~1.3 m/z)","20"
"TRUE","547.409851217011","1","11.377","0.2","Narrow (~1.3 m/z)","20"
"TRUE","722.062045677215","1","11.377","0.2","Narrow (~1.3 m/z)","20"
"TRUE","732.558240427819","1","11.377","0.2","Narrow (~1.3 m/z)","20"
"TRUE","757.602607402335","1","11.377","0.2","Narrow (~1.3 m/z)","20"
"TRUE","758.569931415817","1","11.377","0.2","Narrow (~1.3 m/z)","20"
"TRUE","774.042609148132","1","11.377","0.2","Narrow (~1.3 m/z)","20"
"TRUE","776.578815739227","1","11.377","0.2","Narrow (~1.3 m/z)","20"
"TRUE","854.572642603741","1","11.377","0.2","Narrow (~1.3 m/z)","20"
"TRUE","883.532028110014","1","11.377","0.2","Narrow (~1.3 m/z)","20"
"TRUE","899.507761158324","1","11.377","0.2","Narrow (~1.3 m/z)","20"
"TRUE","902.577362149563","1","11.377","0.2","Narrow (~1.3 m/z)","20"
"TRUE","942.537871414567","1","11.377","0.2","Narrow (~1.3 m/z)","20"
"TRUE","104.003466022294","1","11.508","0.2","Narrow (~1.3 m/z)","20"
"TRUE","338.341883388274","1","11.508","0.2","Narrow (~1.3 m/z)","20"
"TRUE","407.388717285809","1","11.508","0.2","Narrow (~1.3 m/z)","20"
"TRUE","408.768796677337","1","11.508","0.2","Narrow (~1.3 m/z)","20"
"TRUE","423.768120792946","1","11.508","0.2","Narrow (~1.3 m/z)","20"
"TRUE","456.354232315613","1","11.508","0.2","Narrow (~1.3 m/z)","20"
"TRUE","583.467560955487","1","11.508","0.2","Narrow (~1.3 m/z)","20"
"TRUE","637.530650898507","1","11.508","0.2","Narrow (~1.3 m/z)","20"
"TRUE","705.59761684764","1","11.508","0.2","Narrow (~1.3 m/z)","20"
"TRUE","717.590521531592","1","11.508","0.2","Narrow (~1.3 m/z)","20"
"TRUE","806.565052825796","1","11.508","0.2","Narrow (~1.3 m/z)","20"
"TRUE","810.583717204097","1","11.508","0.2","Narrow (~1.3 m/z)","20"
"TRUE","826.560987181033","1","11.508","0.2","Narrow (~1.3 m/z)","20"
"TRUE","908.49725364003","1","11.508","0.2","Narrow (~1.3 m/z)","20"
"TRUE","107.143637437089","1","0.548","0.2","Narrow (~1.3 m/z)","20"
"TRUE","123.117577437089","1","0.548","0.2","Narrow (~1.3 m/z)","20"
"TRUE","136.126733605826","1","0.548","0.2","Narrow (~1.3 m/z)","20"
"TRUE","144.122111741997","1","0.548","0.2","Narrow (~1.3 m/z)","20"
"TRUE","145.099512253337","1","0.548","0.2","Narrow (~1.3 m/z)","20"
"TRUE","152.10356923822","1","0.548","0.2","Narrow (~1.3 m/z)","20"
"TRUE","174.083130443165","1","0.548","0.2","Narrow (~1.3 m/z)","20"
"TRUE","191.106265275717","1","0.548","0.2","Narrow (~1.3 m/z)","20"
"TRUE","667.574676954216","1","11.043","0.2","Narrow (~1.3 m/z)","20"
"TRUE","239.126209826434","1","4.957","0.2","Narrow (~1.3 m/z)","20"
"TRUE","189.111140344838","1","4.461","0.2","Narrow (~1.3 m/z)","20"
"TRUE","384.120405270928","1","4.461","0.2","Narrow (~1.3 m/z)","20"
"TRUE","585.270624286157","1","6.362","0.2","Narrow (~1.3 m/z)","20"
"TRUE","299.141106503301","1","4.754","0.2","Narrow (~1.3 m/z)","20"
"TRUE","313.237696297487","1","6.898","0.2","Narrow (~1.3 m/z)","20"
"TRUE","485.344819556043","1","7.808","0.2","Narrow (~1.3 m/z)","20"
"TRUE","362.25024412039","1","4.289","0.2","Narrow (~1.3 m/z)","20"
"TRUE","432.21391573455","1","4.289","0.2","Narrow (~1.3 m/z)","20"
"TRUE","503.305700482085","1","3.056","0.2","Narrow (~1.3 m/z)","20"
"TRUE","566.426953967646","1","3.642","0.2","Narrow (~1.3 m/z)","20"
"TRUE","905.283017483501","1","13.409","0.2","Narrow (~1.3 m/z)","20"
"TRUE","593.597192935017","1","12.883","0.2","Narrow (~1.3 m/z)","20"
"TRUE","223.153739079681","1","1.575","0.2","Narrow (~1.3 m/z)","20"
"TRUE","239.148804718574","1","0.65","0.2","Narrow (~1.3 m/z)","20"
"TRUE","348.367466914083","1","6.857","0.2","Narrow (~1.3 m/z)","20"
"TRUE","163.132773914263","1","3.723","0.2","Narrow (~1.3 m/z)","20"
"TRUE","189.219453653663","1","0.852","0.2","Narrow (~1.3 m/z)","20"
