"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","100.075973678413","1","0.629","0.2","Narrow (~1.3 m/z)","20"
"TRUE","132.102701513522","1","0.579","0.2","Narrow (~1.3 m/z)","20"
"TRUE","149.01843969793","1","0.589","0.2","Narrow (~1.3 m/z)","20"
"TRUE","166.086711149089","1","0.609","0.2","Narrow (~1.3 m/z)","20"
"TRUE","172.133130130812","1","0.882","0.2","Narrow (~1.3 m/z)","20"
"TRUE","175.062603968242","1","3.693","0.2","Narrow (~1.3 m/z)","20"
"TRUE","180.065460173854","1","1.256","0.2","Narrow (~1.3 m/z)","20"
"TRUE","182.081144135403","1","0.548","0.2","Narrow (~1.3 m/z)","20"
"TRUE","214.167521976922","1","3.683","0.2","Narrow (~1.3 m/z)","20"
"TRUE","256.109349273547","1","3.086","0.2","Narrow (~1.3 m/z)","20"
"TRUE","260.185423497044","1","2.368","0.2","Narrow (~1.3 m/z)","20"
"TRUE","261.144262555423","1","1.206","0.2","Narrow (~1.3 m/z)","20"
"TRUE","263.12693086029","1","5.048","0.2","Narrow (~1.3 m/z)","20"
"TRUE","267.042461023092","1","1.216","0.2","Narrow (~1.3 m/z)","20"
"TRUE","276.12279951538","1","2.116","0.2","Narrow (~1.3 m/z)","20"
"TRUE","279.647720462938","1","7.868","0.2","Narrow (~1.3 m/z)","20"
"TRUE","280.655564553306","1","8.333","0.2","Narrow (~1.3 m/z)","20"
"TRUE","285.065370702598","1","1.423","0.2","Narrow (~1.3 m/z)","20"
"TRUE","285.220897634215","1","9.264","0.2","Narrow (~1.3 m/z)","20"
"TRUE","286.141300374772","1","8.333","0.2","Narrow (~1.3 m/z)","20"
"TRUE","287.100141926449","1","1.266","0.2","Narrow (~1.3 m/z)","20"
"TRUE","287.64321579501","1","8.333","0.2","Narrow (~1.3 m/z)","20"
"TRUE","300.216503964897","1","4.168","0.2","Narrow (~1.3 m/z)","20"
"TRUE","300.289468502617","1","7.11","0.2","Narrow (~1.3 m/z)","20"
"TRUE","303.154697299812","1","8.495","0.2","Narrow (~1.3 m/z)","20"
"TRUE","304.154104632123","1","2.581","0.2","Narrow (~1.3 m/z)","20"
"TRUE","304.211694581664","1","3.197","0.2","Narrow (~1.3 m/z)","20"
"TRUE","305.136104275719","1","7.09","0.2","Narrow (~1.3 m/z)","20"
"TRUE","312.043010272219","1","3.693","0.2","Narrow (~1.3 m/z)","20"
"TRUE","312.159131323278","1","6.473","0.2","Narrow (~1.3 m/z)","20"
"TRUE","327.138200811306","1","7.019","0.2","Narrow (~1.3 m/z)","20"
"TRUE","328.357111486462","1","12.185","0.2","Narrow (~1.3 m/z)","20"
"TRUE","336.220908732248","1","9.911","0.2","Narrow (~1.3 m/z)","20"
"TRUE","337.15868750598","1","7.019","0.2","Narrow (~1.3 m/z)","20"
"TRUE","340.147470707269","1","3.986","0.2","Narrow (~1.3 m/z)","20"
"TRUE","340.239528002477","1","9.628","0.2","Narrow (~1.3 m/z)","20"
