"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","315.252762254299","1","10.234","0.2","Narrow (~1.3 m/z)","20"
"TRUE","323.234675982066","1","8.606","0.2","Narrow (~1.3 m/z)","20"
"TRUE","354.127421785239","1","4.128","0.2","Narrow (~1.3 m/z)","20"
"TRUE","431.315427577119","1","7.322","0.2","Narrow (~1.3 m/z)","20"
"TRUE","447.310954379888","1","6.392","0.2","Narrow (~1.3 m/z)","20"
"TRUE","450.321275271884","1","6.463","0.2","Narrow (~1.3 m/z)","20"
"TRUE","452.327585747589","1","6.22","0.2","Narrow (~1.3 m/z)","20"
"TRUE","469.328571838932","1","9.951","0.2","Narrow (~1.3 m/z)","20"
"TRUE","472.274596266085","1","7.241","0.2","Narrow (~1.3 m/z)","20"
"TRUE","478.293857247997","1","7.99","0.2","Narrow (~1.3 m/z)","20"
"TRUE","479.296420485848","1","7.99","0.2","Narrow (~1.3 m/z)","20"
"TRUE","480.299026044889","1","7.99","0.2","Narrow (~1.3 m/z)","20"
"TRUE","481.312531668979","1","8.424","0.2","Narrow (~1.3 m/z)","20"
"TRUE","482.324628539777","1","8.96","0.2","Narrow (~1.3 m/z)","20"
"TRUE","500.277101794669","1","7.626","0.2","Narrow (~1.3 m/z)","20"
"TRUE","531.219830407189","1","6.857","0.2","Narrow (~1.3 m/z)","20"
"TRUE","545.36139546022","1","9.415","0.2","Narrow (~1.3 m/z)","20"
"TRUE","563.156887663748","1","6.857","0.2","Narrow (~1.3 m/z)","20"
"TRUE","564.432154224657","1","9.931","0.2","Narrow (~1.3 m/z)","20"
"TRUE","583.254913065294","1","9.102","0.2","Narrow (~1.3 m/z)","20"
"TRUE","588.279911867724","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","607.252630467276","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","608.255586328728","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","617.47534403892","1","10.204","0.2","Narrow (~1.3 m/z)","20"
"TRUE","618.47835804348","1","10.204","0.2","Narrow (~1.3 m/z)","20"
"TRUE","619.491562590446","1","10.588","0.2","Narrow (~1.3 m/z)","20"
"TRUE","639.189834951557","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","640.192674185785","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","641.192870891231","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","701.53140614217","1","11.933","0.2","Narrow (~1.3 m/z)","20"
"TRUE","724.332457360806","1","9.203","0.2","Narrow (~1.3 m/z)","20"
"TRUE","725.531239226597","1","11.933","0.2","Narrow (~1.3 m/z)","20"
"TRUE","727.546043182179","1","11.993","0.2","Narrow (~1.3 m/z)","20"
"TRUE","729.562415442437","1","12.297","0.2","Narrow (~1.3 m/z)","20"
"TRUE","748.527071884822","1","11.892","0.2","Narrow (~1.3 m/z)","20"
"TRUE","751.546182166909","1","12.004","0.2","Narrow (~1.3 m/z)","20"
"TRUE","765.529031035368","1","11.68","0.2","Narrow (~1.3 m/z)","20"
"TRUE","777.692909244052","1","5.28","0.2","Narrow (~1.3 m/z)","20"
"TRUE","793.545077463887","1","11.296","0.2","Narrow (~1.3 m/z)","20"
"TRUE","824.654149638816","1","12.6","0.2","Narrow (~1.3 m/z)","20"
"TRUE","863.565036680714","1","12.196","0.2","Narrow (~1.3 m/z)","20"
"TRUE","887.564366820555","1","12.206","0.2","Narrow (~1.3 m/z)","20"
"TRUE","974.608578838981","1","12.165","0.2","Narrow (~1.3 m/z)","20"
