"On","Prec. m/z","Z","Ret. Time (min)","Delta Ret. Time (min)","Iso. Width","Collision Energy"
"TRUE","391.2851","1","10.285","0.2","Narrow (~1.3 m/z)","20"
"TRUE","585.2697","1","9.632","0.2","Narrow (~1.3 m/z)","20"
"TRUE","376.2599","1","5.754","0.2","Narrow (~1.3 m/z)","20"
"TRUE","703.5767","1","11.282","0.2","Narrow (~1.3 m/z)","20"
"TRUE","357.3001","1","9.386","0.2","Narrow (~1.3 m/z)","20"
"TRUE","196.0287","1","4.033","0.2","Narrow (~1.3 m/z)","20"
"TRUE","754.5374","1","11.176","0.2","Narrow (~1.3 m/z)","20"
"TRUE","166.0867","1","0.603","0.2","Narrow (~1.3 m/z)","20"
"TRUE","915.6092","1","12.593","0.2","Narrow (~1.3 m/z)","20"
"TRUE","269.1383","1","6.583","0.2","Narrow (~1.3 m/z)","20"
"TRUE","494.3243","1","7.618","0.2","Narrow (~1.3 m/z)","20"
"TRUE","689.56","1","11.046","0.2","Narrow (~1.3 m/z)","20"
"TRUE","551.311","1","8.217","0.2","Narrow (~1.3 m/z)","20"
"TRUE","647.5118","1","10.271","0.2","Narrow (~1.3 m/z)","20"
"TRUE","492.3134","1","7.963","0.2","Narrow (~1.3 m/z)","20"
"TRUE","799.6678","1","12.476","0.2","Narrow (~1.3 m/z)","20"
"TRUE","246.17","1","0.857","0.2","Narrow (~1.3 m/z)","20"
"TRUE","342.2638","1","5.596","0.2","Narrow (~1.3 m/z)","20"
"TRUE","375.8299","1","12.303","0.2","Narrow (~1.3 m/z)","20"
"TRUE","223.1329","1","4.571","0.2","Narrow (~1.3 m/z)","20"
"TRUE","240.6546","1","8.02","0.2","Narrow (~1.3 m/z)","20"
"TRUE","466.3161","1","5.583","0.2","Narrow (~1.3 m/z)","20"
"TRUE","162.1125","1","0.71","0.2","Narrow (~1.3 m/z)","20"
"TRUE","180.0655","1","1.266","0.2","Narrow (~1.3 m/z)","20"
"TRUE","727.5743","1","11.138","0.2","Narrow (~1.3 m/z)","20"
