"","mz","rt","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M104.1074T532.2","104.107370281191","532.155029296875","456020.593909986","473961.491558595","458211.083969534","447047.900028596","458685.071968362"
"M132.1027T34.7","132.102701513522","34.7240028381348","25415732.2418413","25418370.8730495","26096317.9957366","26091596.1240283","26131705.8986764"
"M136.0731T62.3","136.073086812762","62.3253479003906","167339.972896531","143350.322418018","124374.26365387","126892.319450226","124915.089390808"
"M141.9586T495.2","141.958635916664","495.152069091797","3492052.12238631","3480559.3093143","3497551.77128396","3388474.93636471","3536946.24621229"
"M160.1331T143.9","160.133086723292","143.918182373047","499847.041021351","487005.11836865","480557.654191296","498014.190127798","483714.143016278"
"M161.0183T39.6","161.018276805342","39.5769901275635","142793.560027819","155993.11915957","152380.602860384","146548.759822907","145023.789423999"
"M162.1124T59","162.112447966117","58.989","1175526.77437915","1212727.79033437","1178463.31266746","1137356.20161196","1165436.20611914"
"M162.1125T44.4","162.112527437224","44.429988861084","3070040.10814655","5108411.66315566","3028145.30596373","2992811.65815569","2951041.92530065"
"M162.1125T32.3","162.112545261075","32.297004699707","882806.270238283","1101072.9076596","1022342.11811932","1000398.33896591","1041710.22903011"
"M166.0867T36.5","166.086711149089","36.5439910888672","13337104.0849221","12787310.8722695","13665771.4792925","13800867.5469453","13611468.1609094"
"M167.0854T345.9","167.08537438299","345.923126220703","335617.845305052","318993.522312424","325843.13557547","303111.60901106","306088.459932129"
"M180.0655T75.4","180.065460173854","75.3672294616699","724219.310552848","321363.912213972","771204.451412548","739986.953344196","731908.778983918"
"M194.0808T194.3","194.080827485189","194.269073486328","43728.0644109428","43151.9685900879","37960.6904353717","44035.8994784928","39607.0228219704"
"M195.0879T71.7","195.087875264861","71.72800000002","4634362.00732307","4710613.00080831","4734374.19756099","4704614.1143967","4655691.51220057"
"M205.0973T47.5","205.097275321342","47.4629910888672","7465316.48711178","7467029.83988773","7919909.80600943","7976243.12836867","7913171.73441312"
"M211.1439T153.6","211.143888025349","153.621002197266","209730.630696103","205584.027129895","202100.659167151","201482.521445264","203946.060920244"
"M222.0758T207","222.075758333799","207.007720947266","37331.6132624541","33593.0803717299","31861.7755198173","31541.8537873593","32802.465549177"
"M223.0965T336.8","223.096545933855","336.824096679688","817570.992647132","783195.433160269","721587.536858982","711960.039337456","713667.557686588"
"M241.1067T337.4","241.106702761079","337.430969238281","127968.999812276","125786.899794753","123686.866032455","122521.020820182","124184.249108376"
"M242.1304T219.1","242.130355720384","219.140121459961","105412.632691564","101771.835122892","92201.0619978697","111535.846330361","95503.0562835543"
"M245.1857T113","245.185719751696","112.977867126465","395982.971079172","395913.216192913","395986.911459617","386440.842846938","394813.192987449"
"M246.17T51.7","246.170049181726","51.7089614868164","688307.594636657","697524.299595558","715910.888722281","697877.032012939","695516.97853258"
"M256.1093T185.2","256.109349273547","185.16658001709","392985.221578527","397564.073866095","402868.700252801","407721.098946677","414002.199481347"
"M263.1387T86.9","263.138692266694","86.89399999998","100075.714041761","98777.651919964","102126.945710865","99767.5073227356","97911.4701713949"
"M265.1183T76","265.118287787601","75.9746170043945","921311.120161723","903733.114593361","985274.382820413","920163.20339678","929313.757258087"
"M267.6477T489.6","267.647707727839","489.624816894531","2328984.76069088","2463600.20595579","2583509.34462013","2376069.70334001","2389067.8535714"
"M279.0835T230.7","279.083491115861","230.666076660156","83407.60270437","88862.7526170562","68663.3120892335","86551.1123671181","82797.3719676687"
"M279.6477T472.1","279.647720462938","472.099911499013","2372642.10203785","2371127.16820947","2551349.29138599","2352062.43075539","1160234.09055804"
"M286.1117T421.7","286.111690988394","421.749450683594","20735.4720838388","21291.6412484504","22437.8455290985","21227.5483704712","16643.5169488304"
"M286.1442T351.4","286.14415710562","351.382995605469","2955328.15842646","2950785.06760283","2811535.78520886","2867902.85140158","2853256.25878875"
"M286.2015T226.4","286.201452670541","226.42000000002","2122508.70390893","2151826.77163275","2105683.2963018","2132574.74912416","2102949.08712752"
"M286.2292T555.4","286.229226380526","555.355163574219","1703155.58650039","1703890.19260835","1696791.73179111","1708827.07268761","1666528.17388007"
"M286.6258T451.5","286.625838622003","451.47499999998","164140.874832378","161103.974613863","148248.189771316","155798.92092206","153566.137511309"
"M290.1391T106.3","290.139140046613","106.306015014648","5080851.96465656","5078255.34625554","5051350.85759031","5003326.5370363","4964801.97025978"
"M292.6552T492.7","292.655166102373","492.725006103516","161828.947213084","164218.316148578","218485.938735011","158276.872208305","198132.109653248"
"M300.2165T250.1","300.216503964897","250.07698059082","100589.613067176","94419.9349428774","104134.178235429","111469.105331355","108719.539043763"
"M303.1547T509.7","303.154697299812","509.710968017578","226099.834839315","231465.370728483","214033.32802127","218306.965296128","212444.13045025"
"M304.2117T191.8","304.211694581664","191.84299999998","267274.228400154","275150.913346275","259797.556543473","274165.324663987","263212.776238741"
"M310.2012T261.6","310.201189085529","261.602172851562","655560.058640281","656994.15834294","653026.732581644","656822.480560752","635515.448946661"
"M313.2368T413.9","313.236816274252","413.863983154297","99093.7020953158","101649.138495837","95724.7508626919","156718.187576861","99405.0898243958"
"M314.2327T293.8","314.232674775283","293.750885009766","1867066.34224421","1859669.57108582","1823972.35121333","1874869.73078906","1821395.92566334"
"M316.2486T315","316.248618689856","314.986083984375","1833214.10568792","1832635.96288176","1813153.63609327","1835833.10209063","1871593.68903746"
"M319.1652T91.7","319.165185039655","91.7470703125","82471.2483351549","81709.256880997","85114.4315611892","82356.5493453303","86501.8382261638"
"M340.2479T321.7","340.247893415376","321.65899999998","207819.261011601","175273.322141311","203043.52446643","196488.432683309","198827.329350271"
"M342.2638T336.2","342.263773919743","336.21799999998","967062.311216706","970655.087495245","921516.905107077","900471.461291896","946303.279680553"
"M344.2795T358.7","344.279476853443","358.662","738167.782996546","740388.043696996","724752.111067685","733263.393587758","743000.614312903"
"M352.1654T199.1","352.165444266826","199.122100830078","419063.3667542","420743.462852389","428693.551146316","425619.527807306","426542.28894802"
"M354.1274T247.7","354.127421785239","247.651000976562","1410861.69784148","1432831.08117882","1448135.36555314","1424623.89363024","1430296.05095465"
"M356.1425T201.5","356.142456514973","201.547645568848","54214.0507262052","52956.6077914333","52962.4926256714","51929.4378178149","52093.5177119391"
"M363.2164T271.3","363.216438071602","271.30900000002","335846.142125134","335043.195200175","312217.524441163","332291.838352758","327098.810811182"
"M368.2794T356.2","368.279373739928","356.235656738281","577074.694600551","577767.570418469","566711.709045586","563182.160262345","556008.74554137"
"M372.3106T399.9","372.310621568707","399.912139892578","285784.358295157","282418.231677145","290389.253827098","294737.714272399","291792.048028944"
"M376.1933T588.9","376.193338773095","588.92529296875","264121.736761762","255948.853709643","239099.538883694","242769.071672031","248062.567816283"
"M384.1739T241","384.173940453238","240.978866577148","656095.507956992","657253.524966159","665155.075963511","640565.920055133","642580.20632647"
"M384.2735T685.6","384.273483267747","685.632","60190.0293779704","65084.212638124","63959.6242326965","60991.5146999177","65326.8953572631"
"M384.2908T676.5","384.290831934033","676.533020019531","32004.5425186418","33453.6636116516","31542.0855443031","30694.6035214119","28394.1671545059"
"M388.1533T67.5","388.153292335448","67.4819030761719","36513.0966807861","38722.0987418335","37700.3736601867","38644.8682569767","34581.7537451401"
"M391.2851T617.1","391.285130931887","617.083984375","13622115.5336737","13513322.5845901","13407404.6384376","13397275.4796552","13319020.7393981"
"M395.2206T594.6","395.220579409287","594.636993408203","1594681.71097341","1544487.40395727","1353442.13925963","1346587.30182238","1334794.35510825"
"M413.2836T606.8","413.283614945968","606.757080078125","538461.496357029","502939.634984887","535865.873908185","534186.60779502","523182.942606994"
"M414.3362T260.4","414.336243440232","260.389984130859","20899.3641641785","20940.6406651497","25530.9747206768","22389.1370002975","25011.8476028944"
"M417.3357T443","417.335717965989","442.982208251953","59476.8861138732","46307.7704274552","43500.649052813","44882.3535301208","43678.6404681741"
"M422.2549T636.4","422.254926640938","636.444030761719","168376.804587967","167913.59285234","221480.004711901","220287.372408145","211038.30514374"
"M422.3261T409","422.32606285054","409.01200000002","88101.0686828037","86253.9420263136","86789.114235276","86393.6711194685","81917.5881611897"
"M436.3417T617.1","436.341720374476","617.083984375","273783.079768875","256847.156118348","343203.792552867","336503.300649766","325709.274699487"
"M450.3213T387.8","450.321275271884","387.78","409625.623972827","407239.493612694","401290.12667345","410718.376017177","403261.505083789"
"M450.3215T373.2","450.321495807737","373.220245361328","686941.198299413","652125.740600084","639251.070638211","1063868.55184014","651859.171228448"
"M459.3049T535.8","459.304922846893","535.79500000002","95342.2216354113","101076.052427229","95146.3792291877","93054.5061226975","96850.253467504"
"M461.3236T549.7","461.323610414314","549.747","151811.37999302","150908.755849838","158552.669215758","153460.47280148","149019.170042442"
"M468.3092T442.4","468.309185230505","442.37599999998","2838366.60349865","2908305.08820744","2833253.13467861","2864967.60792753","2886428.52953462"
"M469.3884T584.3","469.388369695505","584.325256347656","949297.146751521","867698.11575416","939354.238153551","941949.467772757","928723.706660014"
"M471.7382T221.6","471.738208491468","221.567123413086","220564.199668524","214140.381712532","214987.315393066","221332.360354133","226206.546988207"
"M478.2939T479.4","478.293857247997","479.379241943359","3129173.89552969","3062691.47663319","3000081.12252474","3062346.74625936","2965435.19274992"
"M478.3262T487.9","478.326242103761","487.872009277344","67089.1243753691","74288.3408638724","68609.0983110599","67854.8599177478","63207.4494664926"
"M478.3291T712.3","478.329055226838","712.323669433594","130397.709613429","122798.76349337","116022.755899885","128319.247033175","124077.104015462"
"M482.3608T506.1","482.360820639844","506.071075439453","1824270.87900543","1824463.35712503","1791395.56223015","1807499.05474498","1804578.56143249"
"M491.3706T600.7","491.370570018756","600.704772949219","1511367.19367695","1444556.27535765","1534287.54444252","1487543.86003081","1526634.11550937"
"M494.325T456.3","494.324966396307","456.328002929688","7883068.79542723","7869246.57337594","7774973.91417977","7984124.81614264","7871807.9560518"
"M494.3602T523.7","494.360166355955","523.662","78593.5404581599","74865.1427523295","76954.4796768911","77003.016204775","77246.0555627777"
"M496.3428T487.3","496.342765671223","487.265991210938","115493238.481386","115368407.365987","114890611.080771","116024822.151147","115284134.981146"
"M506.3595T518.8","506.359474007454","518.80999999998","244131.217980578","247854.681933667","230867.342175229","241257.441888717","244446.94788698"
"M510.3561T508.5","510.356058418644","508.497039794922","3119997.82041996","3086715.54599691","3073261.59068016","3111369.06508315","3089038.49666582"
"M512.3346T455.1","512.33459270805","455.114440917969","401502.164828002","401147.390782397","391659.970840624","398721.834492795","397305.395715673"
"M512.3344T359.3","512.334404283863","359.268371582031","449347.156306996","471367.148154764","458789.244622623","499641.489713178","486536.878576539"
"M513.3532T602.5","513.353181863688","602.524780273438","187324.765823236","182890.710218309","166210.292771566","160093.609821546","168625.113059172"
"M515.3703T603.7","515.3702717635","603.73779296875","730544.073753143","506149.255822264","731986.693016752","708674.093922335","520056.286725211"
"M517.3854T634.7","517.385400297714","634.675842285156","280816.285696875","286160.074297191","295713.340573881","290748.85473543","307023.474972999"
"M520.3419T473.3","520.341874425199","473.313","58541367.86254","58611988.8969388","58216494.9430024","58882102.6488784","58951006.5566203"
"M522.3571T500","522.357062678664","500.005004882812","48641954.834141","48708886.3630478","48207467.8264547","48419533.1111052","48465926.930415"
"M523.3599T499.4","523.359917812522","499.398071289062","13800206.0265001","13922444.0083118","13732407.0327358","13743800.6191021","13794207.695662"
"M524.3731T531.5","524.373088871964","531.549011230469","54009310.6917976","53490924.1039792","57875534.1107527","54194868.8119526","58340979.1148774"
"M526.2643T411.4","526.264263849658","411.43798828125","54510.0959763757","53653.0010671741","52232.6697726455","54436.2890868578","53974.4088870562"
"M542.3241T450.3","542.324083501702","450.261352539062","908064.700937196","921535.064466075","903993.276712018","933621.570802019","938485.09214254"
"M544.3405T475.1","544.340546647059","475.132873535156","12701825.2235445","12602675.1179718","12524883.8146462","13249680.0441192","12675495.3407446"
"M551.4265T629.8","551.426485339521","629.822509765625","118786.8051825","135364.816393507","127987.520068411","128875.325331867","131788.655815934"
"M561.4126T580.1","561.412586359176","580.079223632812","2691216.4470414","2738336.05368095","2417512.51371674","2501689.44488525","1983036.36823968"
"M563.4282T595.9","563.428249246388","595.851623535156","3654041.27138892","3638362.48515326","3699665.13129294","3694501.98927659","3676566.90311943"
"M575.466T630.4","575.465997316338","630.429809570312","583430.853061602","578682.808320126","352569.740527489","599265.762985623","586142.502070072"
"M585.2707T552.2","585.270687992706","552.173675537109","4686319.57182181","2342795.2069793","4675220.73660683","4632073.02000867","4593127.23592326"
"M585.2697T577.7","585.269748912294","577.65400000002","1145218.2054126","1153957.52938865","1103581.67022283","1088983.24330781","1096326.88798049"
"M590.4256T460.6","590.425628786354","460.574124633779","31851.7089306699","33982.9567928216","41729.0937333791","40265.1481228679","40483.4758513437"
"M595.434T606.2","595.434004111856","606.165","180282.375613942","175005.318148663","174899.003725608","170588.666384633","177230.253417071"
"M595.4929T612.8","595.492860214067","612.836975097656","1130065.77204106","1100213.02308218","1088214.09583359","1094092.54459339","1079158.66573697"
"M607.2526T552.2","607.252630467276","552.173853027344","1247433.19890246","1241848.87346795","1226862.60004138","1231303.55366843","1207444.13519799"
"M608.3233T530.9","608.323263880275","530.942016601562","206704.728872033","223816.612161946","230183.203049019","217753.734652668","218954.913715141"
"M611.368T557.6","611.368020064963","557.63299999998","112138.64185392","113150.900461016","116404.627245652","110741.339873821","109028.647838672"
"M619.4916T635.3","619.491562590446","635.28199999998","6566268.86255966","6551264.7000368","6811104.439565","6832654.30397177","6791930.63740621"
"M636.6285T786.9","636.628483175621","786.938781738281","12912.6255735606","15664.4490582262","11646.5081423982","10723.4237937697","13560.4668739393"
"M670.6107T781.5","670.610667755959","781.479","274667.7052295","256560.649649748","265533.806712633","266244.77395466","251188.755725263"
"M673.5277T625","673.527736753187","624.969909667969","964500.984104399","965611.502295532","943001.103021831","963296.85658328","956189.647413687"
"M676.5479T648","676.547929898037","648.021","1151450.98368743","2471320.77488828","2501721.75777647","2535394.64177882","2482818.25092777"
"M678.5072T652.3","678.507173679248","652.26799999998","119944.670155665","122570.689329044","125532.023016542","124434.974583416","124460.423883986"
"M678.5612T659.5","678.56118030235","659.547","65213.7997812241","64498.3087945205","68459.5132620849","66318.1566683077","67337.8597583459"
"M684.3507T500.6","684.350654856277","500.610992431641","60678.5036435989","60804.3039282373","57190.9402685652","63173.0098104128","55219.6673446691"
"M689.56T662.6","689.559999385218","662.581390380859","2460394.37648518","2435143.79334178","2450335.01958897","2455521.58312098","2451979.35641601"
"M701.5606T656.5","701.560618325069","656.513916015625","16289792.5095013","16286672.7773745","16168958.4600105","16092755.8572494","16072631.1893556"
"M703.5767T677.1","703.576696292959","677.138988525391","33368459.8146681","33104378.7444072","33318619.5304429","33164199.7070765","33263472.6212907"
"M715.5649T677.1","715.564910002343","677.138000488281","101364.039227302","107586.050144768","109595.927993761","127787.937101016","115245.345375344"
"M715.5734T672.3","715.573378470584","672.285461425781","261477.396965844","267206.710300857","261475.122097297","268512.365174512","276139.819742671"
"M717.5523T643.2","717.552335808646","643.168823242188","73906.0690839838","81130.0490350917","84291.5534979795","91396.9834754464","85453.4007459233"
"M717.5901T691.1","717.590056502845","691.09099999998","357483.892459565","345344.943006768","346833.520238816","352181.117724452","347168.058614294"
"M720.5894T723.9","720.589351800493","723.85000000002","147486.472140646","145902.044005095","146052.34969578","146695.570742733","147512.092581931"
"M727.5105T660.8","727.510504734252","660.76000000002","83967.1613630848","89821.0190368561","88338.1052818715","88168.3097045458","91385.3985257034"
"M727.5743T668.6","727.574330106459","668.64697265625","1278460.75026633","1502759.20841015","1251680.78793779","1317733.09049881","1438454.77990504"
