"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M100.9336T708.7","100.93356267525","708.699","4488935.61543923","4529419.72802798","4535613.074697","4564466.96821121","4544051.38122291"
"M103.0406T36.3","103.040624811386","36.3410530090332","2219668.86760551","2210229.25197509","2270935.37245502","2288148.2957117","2206427.85179847"
"M115.0404T40.1","115.040377931581","40.0665969848633","643760.598827102","639121.665805631","648789.565771784","654911.236762207","648545.179354651"
"M129.0561T87.5","129.056125270323","87.5017013549805","17764575.4889501","16838159.7464192","16725340.0878908","10804769.0023956","17119291.2642452"
"M129.0561T74.8","129.056129710815","74.77300000002","6437338.05619238","5870132.07608318","6074814.85125807","6057569.40179838","5969872.57180123"
"M131.0713T148.2","131.071309141053","148.174774169922","231054.800051478","230367.000705361","231676.591242328","222513.353383242","232900.92237075"
"M137.0248T239.9","137.024812439713","239.871459960938","11377976.4570352","11432529.1826451","11410014.6486166","11394831.0904819","11645625.1638983"
"M152.8839T33.7","152.883925938506","33.6911773681641","192549.125817268","215453.61161287","200134.869820621","187629.063536494","196367.706772769"
"M159.1026T312","159.102562618439","311.96500000002","144134.386740128","137248.688866042","142426.210247259","143859.366544593","147753.461662239"
"M165.0556T184.6","165.055579929703","184.57099999998","74569.9961002808","73218.5242120627","76364.4285179686","70578.3443776437","73326.7134036987"
"M167.0213T33.7","167.021290846704","33.6911773681641","343963.594189908","322773.062692009","350344.061369881","329941.696606275","324773.064264488"
"M172.992T51.5","172.992020255063","51.4571151733398","2270998.51393651","2311636.52345864","2365667.89040896","2355245.41059341","2378901.94676138"
"M187.0077T110.6","187.007729648212","110.564002990723","27299061.855022","27323956.4994373","27300083.7110591","27264463.4405807","27571166.5970464"
"M187.1338T381.1","187.133790594827","381.119262695312","196673.987496747","194116.917723513","188576.254689543","187411.865625166","197449.175364733"
"M197.8082T38.9","197.808168789308","38.9284706115723","2648101.48564655","2367776.03666379","2627789.56595957","2336683.60553987","2198800.10189547"
"M199.007T190.2","199.007040317046","190.209930419922","966635.531970512","429916.198810234","948764.129907402","950290.189445194","926505.70990796"
"M204.0667T193.1","204.066676424172","193.140930175781","280472.201889714","282730.365998263","268496.692710325","272024.360320602","277773.066111228"
"M204.9464T332.6","204.946417825343","332.590118408203","141206.157159445","130790.014008793","136351.066547945","136402.751126734","140615.346068522"
"M207.012T183.2","207.011985762695","183.173370361328","455106.382284853","448316.181969874","471887.227195964","481133.448263671","453853.552432325"
