"Adduct","charge","cluster index","componentindex","Compound_Name","Compound_Source","Data_Collector","DefaultGroups","G1","G2","G3","G4","G5","G6","GNPSLibraryURL","GNPSLinkout_Cluster","GNPSLinkout_Network","INCHI","Instrument","Ion_Source","IonMode","Library_Class","MassDiff","MQScore","MZErrorPPM","name","number of spectra","parent mass","PI","precursor mass","RTConsensus","RTMean","selected","shared name","SharedPeaks","Smiles","SpectrumID","sum(precursor intensity)","tags","UniqueFileSources"
,"0","1386","-1",,,,"G1,G2,G4","3.0","8.0","0.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=1386&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"1386","12","291.094",,"291.094","0.0","422.4811666666667","false","1386",,,,"233907.0",,"NIST1950_Iterative_RPP_20210405_03.mzML|GD_008_pmd1_RPP_RRHD_B1.mzML|GD_015_camera1_RPP_RRHD_B1.mzML|NIST1950_Iterative_RPP_20210405_01.mzML"
"M+H","0","6580","1","Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14","Isolated","Data deposited by mjmeehan","G1,G2,G4","12.0","13.0","0.0","6.0","0.0","0.0","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003136557","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=6580&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true","nan","HCD","ESI","Positive","3","0.6500239999999999","0.957784","887.34","6580","31","731.904","Data from Gabriel Haddad","731.904","0.0","683.4686451612903","false","6580","8","nan","CCMSLIB00003136557","1827160.0","nan","GD_019_camera5_RPP_RRHD_B1.mzML|NIST1950_Iterative_RPP_20210405_03.mzML|GD_009_pmd2_RPP_RRHD_B1.mzML|GD_008_pmd1_RPP_RRHD_B1.mzML|GD_011_pmd4_RPP_RRHD_B1.mzML|GD_010_pmd3_RPP_RRHD_B1.mzML|GD_015_camera1_RPP_RRHD_B1.mzML|GD_014_pmd7_RPP_RRHD_B1.mzML|NIST1950_Iterative_RPP_20210405_07.mzML|NIST1950_Iterative_RPP_20210405_08.mzML|NIST1950_Iterative_RPP_20210405_01.mzML|GD_017_camera3_RPP_RRHD_B1.mzML"
,"0","6116","-1",,,,"G1,G2,G3,G4","1.0","8.0","2.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=6116&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"6116","12","661.442",,"661.442","0.0","632.7635833333334","false","6116",,,,"169319.0",,"GD_024_ramclustr2_RPP_RRHD_B1.mzML|GD_012_pmd5_RPP_RRHD_B1.mzML|GD_009_pmd2_RPP_RRHD_B1.mzML|GD_019_camera5_RPP_RRHD_B1.mzML|NIST1950_Iterative_RPP_20210405_01.mzML"
,"0","812","17",,,,"G1","20.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=812&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=17&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"812","20","249.908",,"249.908","0.0","295.23535","false","812",,,,"94804.4",,"NIST1950_Iterative_RPP_20210405_06.mzML|NIST1950_Iterative_RPP_20210405_03.mzML|NIST1950_Iterative_RPP_20210405_04.mzML|NIST1950_Iterative_RPP_20210405_02.mzML|NIST1950_Iterative_RPP_20210405_05.mzML"
,"0","7166","2",,,,"G1","2.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=7166&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"7166","2","804.608",,"804.608","0.0","746.6524999999999","false","7166",,,,"11113.1",,"NIST1950_Iterative_RPP_20210405_03.mzML"
,"0","7862","3",,,,"G1","2.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=7862&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"7862","2","897.71",,"897.71","0.0","689.3515","false","7862",,,,"10685.4",,"NIST1950_Iterative_RPP_20210405_01.mzML"
,"0","5209","-1",,,,"G2","0.0","2.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=5209&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"5209","2","571.28",,"571.28","0.0","352.20550000000003","false","5209",,,,"4533.46",,"GD_013_pmd6_RPP_RRHD_B1.mzML"
"M+H","0","1344","17","Octanoylcarnitine - 40.00 eV","Isolated","Anna Abrahamsson","G1,G2,G3","2.0","7.0","6.0","0.0","0.0","0.0","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00005885063","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=1344&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=17&task=47bd0f0c102c42c09a879ac02c6c302f&show=true","nan","Orbitrap","ESI","Positive","1","0.0","0.9491379999999999","0.0","1344","15","288.217","Madeleine Ernst","288.217","0.0","266.8314","false","1344","8","CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","CCMSLIB00005885063","1375780.0","nan","GD_012_pmd5_RPP_RRHD_B1.mzML|GD_026_ramclustr4_RPP_RRHD_B1.mzML|NIST1950_Iterative_RPP_20210405_01.mzML"
,"0","4168","-1",,,,"G2","0.0","5.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=4168&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"4168","5","471.272",,"471.272","0.0","435.0404","false","4168",,,,"34672.7",,"GD_008_pmd1_RPP_RRHD_B1.mzML"
"[M+H]+","0","1376","28","Massbank:EA282304 Benzoylecgonine| 3-benzoyloxy-8-methyl-8-azabicyclo[3.2.1]octane-4-carboxylic acid","Isolated","Massbank","G1,G2,G3,G4","2.0","7.0","12.0","5.0","0.0","0.0","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000211564","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=1376&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=28&task=47bd0f0c102c42c09a879ac02c6c302f&show=true","1S/C16H19NO4/c1-17-11-7-8-12(17)14(15(18)19)13(9-11)21-16(20)10-5-3-2-4-6-10/h2-6,11-14H,7-9H2,1H3,(H,18,19)","LC-ESI-ITFT","ESI","Positive","3","0.0","0.9954639999999999","0.0","1376","26","290.139","Putative Massbank Match","290.139","0.0","104.69438461538462","false","1376","8","CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)O","CCMSLIB00000211564","5906360.0","nan","GD_023_ramclustr1_RPP_RRHD_B1.mzML|GD_013_pmd6_RPP_RRHD_B1.mzML|GD_016_camera2_RPP_RRHD_B1.mzML|NIST1950_Iterative_RPP_20210405_01.mzML"
