"","mz","rt","GD_012_matrix_RPP_RRHD_B1.mzML","GD_014_matrix_RPP_RRHD_B1.mzML","GD_015_matrix_RPP_RRHD_B1.mzML","GD_017_matrix_RPP_RRHD_B1.mzML","GD_019_matrix_RPP_RRHD_B1.mzML","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M100.076T37.8","100.075973678413","37.757999420166","24069.3868177369","21889.0142117658","17235.1145035076","28731.4946895731","28810.4954161098","2565382.30421022","2654940.88950456","2731762.51575883","2647833.29988483","2610510.06954106"
"M101.079T37.2","101.079047700111","37.1510009765625","321.707273239153","0","0","0","0","134924.052402344","145119.323518506","153029.540808209","148828.842775883","146573.954168994"
"M104.107T32.3","104.107045190075","32.297004699707","0","0","0","0","0","357365.124001197","351344.544505419","359234.724467267","351555.774619872","371605.126328507"
"M104.1074T532.2","104.107370281191","532.155029296875","0","0","0","0","0","456020.593909986","473961.491558595","458211.083969534","447047.900028596","458685.071968362"
"M104.107T43.8","104.107028100104","43.8234952087402","0","0","0","0","0","868651.607341509","1233369.112364","1213270.15807116","1211046.95561596","1235590.050882"
"M105.0334T75.4","105.033414139591","75.3676071166992","208.991505629849","827.957179813989","0","0","148.931218889542","195631.105109336","199049.932292345","197774.116397142","202050.742338154","198867.403511676"
"M106.0841T37.8","106.084085977184","37.757999420166","0","0","635.16533274555","360.489552057028","211.328338068968","57422.3714969427","64534.4465671409","56098.1661876088","60115.728023343","52813.084587532"
"M106.9918T481.2","106.991843422637","481.199005126953","732002.242865597","732696.885267182","725728.173589127","728655.577932579","718460.241699976","311389.417790313","314325.185581072","328629.595932703","310187.99905662","310939.438540316"
"M106.9918T568.9","106.991833086264","568.866670410146","667916.141813968","540288.551307629","651017.341466161","666990.153807731","633199.421637921","465155.717523689","456576.108409803","703948.763859226","684866.401877166","486667.832010775"
