"","mz","rt","GD_022_matrix_RPN_RRHD_B1.mzML","GD_023_matrix_RPN_RRHD_B1.mzML","GD_025_matrix_RPN_RRHD_B1.mzML","GD_027_matrix_RPN_RRHD_B1.mzML","GD_029_matrix_RPN_RRHD_B1.mzML","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M100.9336T708.7","100.93356267525","708.699","0","0","0","0","199415.282977471","4488935.61543923","4529419.72802798","4535613.074697","4564466.96821121","4544051.38122291"
"M100.9339T731.1","100.933932547585","731.144775390625","5173011.97510081","5447160.79072834","6125258.16650095","5678181.74547412","7145957.61055547","7821676.08721686","7808602.31574382","8518631.44673283","8059532.21131926","7702800.06865091"
"M100.9335T668.1","100.933514089582","668.055358886719","2583425.43653592","1870478.02133618","2358053.24521983","2345689.81822413","2234518.53892968","2811472.38386255","2785334.79707606","2692503.22355318","2764439.81430951","2745435.38861443"
"M100.9336T688.7","100.933649891103","688.681213378906","3974021.12336771","4273475.88347465","4387716.62086469","4046259.13122994","4163166.63286289","3641696.28882594","3642225.50521182","3723185.80681296","3665900.01464134","3649497.45836579"
"M101.0247T35","101.024659552197","34.9681701660156","1032.76646589886","2243.68057669607","453.629905701219","2831.92695313444","1097.85731749215","67547.5661311677","62320.9532981343","68787.7273865902","67630.5105711882","66484.5597553824"
"M101.0611T87.5","101.061084464689","87.5202713012695","0","213.913977592933","220.908096209598","0","189.989263680746","40851.8042068348","48825.2171151819","47767.3513296773","46249.2388693019","47208.8905663016"
"M102.957T45.8","102.95704795498","45.7702026367188","0","0","0","0","0","1424632.15151628","643000.770171418","1329709.07091744","655070.792492017","657077.219284492"
"M103.0406T36.3","103.040624811386","36.3410530090332","3613.49593613433","2326.51858524713","2404.53109575098","3634.08381811588","3391.42215225002","2219668.86760551","2210229.25197509","2270935.37245502","2288148.2957117","2206427.85179847"
"M104.0438T36.2","104.043787174518","36.2451705932617","0","0","0","0","234.345536060398","96901.0116956608","98562.0600989036","103779.689643265","105932.606940153","97426.3361124024"
